ProductID,SKU,ProductName,Category,Subcategory,Brand,Price,DiscountPercent,DiscountAmount,FinalPrice,StockQty,Rating,NumReviews,LaunchDate,Supplier,WarrantyMonths,Dimensions,Weight_g,Color,Material,Sold_Last_30d,Country_of_Origin,Is_Returnable,CreatedAt,Is_High_Value,ProfitMargin_pct,StockStatus
P000001,SKU100001,Aurelia Toy Car Max-381,Toys & Baby,Toy Car,Aurelia,3591.65,36.8,1321.73,2269.92,42,4.95,1,2020-09-30,Supplier_112,3,13x11x22 cm,4517,White,Wood,7,India,True,2020-10-05,False,8.69,Medium
P000002,SKU100002,UrbanWear LED Bulb X-674,Home & Kitchen,LED Bulb,UrbanWear,1939.68,20.0,387.94,1551.74,48,4.46,182,2020-03-25,Supplier_413,24,46x49x18 cm,3486,Blue,Silicone,7,Vietnam,True,2020-05-12,False,19.9,Medium
P000003,SKU100003,Sportify Air Purifier Plus-384,Home & Kitchen,Air Purifier,Sportify,883.67,13.8,121.95,761.72,42,3.64,5,2019-09-29,Supplier_23,3,26x11x3 cm,3162,White,Ceramic,12,Bangladesh,True,2019-11-19,False,6.33,Medium
P000004,SKU100004,GreenHarvest Stroller X-487,Toys & Baby,Stroller,GreenHarvest,3218.71,32.3,1039.64,2179.07,61,4.57,54,2018-11-19,Supplier_149,18,23x45x20 cm,3012,Blue,Metal,8,India,True,2019-01-07,False,38.02,Medium
P000005,SKU100005,Zenova Laptop Mini-384,Electronics,Laptop,Zenova,10032.03,4.8,481.54,9550.49,64,4.44,4,2023-02-01,Supplier_374,24,28x15x12 cm,2960,Blue,Glass,7,China,True,2023-03-07,True,25.48,Medium
P000006,SKU100006,KiddoFun Cooker Mini-376,Home & Kitchen,Cooker,KiddoFun,5163.22,4.5,232.34,4930.88,52,4.1,17,2025-03-06,Supplier_138,24,40x19x22 cm,2706,Black,Leather,6,India,True,2025-03-31,False,24.86,Medium
P000007,SKU100007,UrbanWear Laptop Max-422,Electronics,Laptop,UrbanWear,7087.56,32.0,2268.02,4819.54,57,4.54,3,2020-05-20,Supplier_288,24,36x30x29 cm,3808,Red,Glass,9,USA,True,2020-07-06,False,20.61,Medium
P000008,SKU100008,UrbanWear Perfume Mini-697,Beauty,Perfume,UrbanWear,3698.6,4.1,151.64,3546.96,47,4.45,54,2022-06-24,Supplier_82,6,19x13x17 cm,4092,White,Plastic,11,China,True,2022-08-03,False,16.83,Medium
P000009,SKU100009,UrbanWear Spices X-494,Grocery,Spices,UrbanWear,941.04,19.9,187.27,753.77,58,3.53,2,2022-04-13,Supplier_151,18,34x38x9 cm,4582,Black,Metal,12,Vietnam,True,2022-04-20,False,21.95,Medium
P000010,SKU100010,KiddoFun Dumbbells X-839,Sports,Dumbbells,KiddoFun,13293.81,26.9,3576.03,9717.78,51,3.49,7,2020-12-14,Supplier_83,18,16x37x30 cm,921,Green,Leather,11,USA,True,2021-01-31,True,23.11,Medium
