Flight_ID,Airline,Source_City,Destination_City,Flight_Distance_km,Scheduled_Departure,Departure_Delay_Min,Arrival_Delay_Min,Ticket_Price,Flight_Status
500001,Air India,Hyderabad,Hyderabad,630,2023-06-01 00:00:00,109,60,11406,On Time
500002,IndiGo,Mumbai,Bengaluru,553,2023-06-01 01:00:00,-9,131,6475,Delayed
500003,Akasa Air,Bengaluru,Delhi,1900,2023-06-01 02:00:00,32,143,16218,On Time
500004,IndiGo,Hyderabad,Kolkata,1503,2023-06-01 03:00:00,0,21,9917,Cancelled
500005,IndiGo,Bengaluru,Hyderabad,755,2023-06-01 04:00:00,161,57,12041,On Time
500006,IndiGo,Mumbai,Chennai,1480,2023-06-01 05:00:00,37,95,17480,On Time
500007,SpiceJet,Bengaluru,Mumbai,2169,2023-06-01 06:00:00,57,49,6136,On Time
500008,Akasa Air,Mumbai,Kolkata,2343,2023-06-01 07:00:00,90,79,15916,On Time
500009,Vistara,Chennai,Kolkata,1189,2023-06-01 08:00:00,104,42,3301,On Time
500010,Air India,Bengaluru,Mumbai,1998,2023-06-01 09:00:00,109,127,16563,Delayed
500011,Vistara,Chennai,Chennai,1898,2023-06-01 10:00:00,108,109,17607,On Time
500012,IndiGo,Chennai,Bengaluru,2018,2023-06-01 11:00:00,44,192,9127,Delayed
500013,Akasa Air,Delhi,Delhi,2010,2023-06-01 12:00:00,34,163,11906,On Time
500014,Air India,Delhi,Delhi,1950,2023-06-01 13:00:00,55,77,6297,Delayed
500015,Vistara,Kolkata,Delhi,2486,2023-06-01 14:00:00,112,-2,6502,On Time
500016,IndiGo,Mumbai,Hyderabad,321,2023-06-01 15:00:00,104,74,9617,Delayed
500017,Akasa Air,Chennai,Hyderabad,1536,2023-06-01 16:00:00,69,81,6009,Delayed
500018,Akasa Air,Mumbai,Bengaluru,2057,2023-06-01 17:00:00,175,98,6569,On Time
500019,SpiceJet,Delhi,Delhi,990,2023-06-01 18:00:00,10,107,9933,On Time
500020,Akasa Air,Bengaluru,Bengaluru,1588,2023-06-01 19:00:00,-10,53,2926,Delayed
500021,Akasa Air,Bengaluru,Chennai,837,2023-06-01 20:00:00,175,76,9933,On Time
500022,IndiGo,Mumbai,Bengaluru,1473,2023-06-01 21:00:00,138,0,4104,Delayed
500023,Air India,Kolkata,Delhi,1781,2023-06-01 22:00:00,33,36,16406,On Time
500024,Vistara,Hyderabad,Hyderabad,466,2023-06-01 23:00:00,56,123,16775,Delayed
500025,Vistara,Kolkata,Kolkata,718,2023-06-02 00:00:00,94,157,17369,Delayed
500026,IndiGo,Hyderabad,Mumbai,387,2023-06-02 01:00:00,164,176,8676,On Time
500027,Akasa Air,Kolkata,Chennai,2279,2023-06-02 02:00:00,80,68,11466,On Time
500028,Vistara,Bengaluru,Delhi,1381,2023-06-02 03:00:00,165,57,5098,Delayed
500029,IndiGo,Mumbai,Kolkata,551,2023-06-02 04:00:00,146,146,2861,Cancelled
500030,IndiGo,Kolkata,Kolkata,742,2023-06-02 05:00:00,56,132,10186,On Time
500031,Vistara,Mumbai,Mumbai,1671,2023-06-02 06:00:00,145,-12,3397,Cancelled
500032,SpiceJet,Delhi,Mumbai,335,2023-06-02 07:00:00,95,119,3799,Cancelled
500033,IndiGo,Delhi,Delhi,1478,2023-06-02 08:00:00,46,134,10987,On Time
500034,IndiGo,Bengaluru,Delhi,474,2023-06-02 09:00:00,119,116,9164,On Time
500035,SpiceJet,Mumbai,Bengaluru,1703,2023-06-02 10:00:00,104,45,15306,Delayed
500036,Air India,Bengaluru,Chennai,1426,2023-06-02 11:00:00,164,102,5428,On Time
500037,Akasa Air,Delhi,Hyderabad,1506,2023-06-02 12:00:00,178,46,2703,On Time
500038,IndiGo,Kolkata,Delhi,1068,2023-06-02 13:00:00,163,75,5092,On Time
500039,Vistara,Kolkata,Chennai,2403,2023-06-02 14:00:00,16,22,13725,Delayed
500040,Akasa Air,Delhi,Hyderabad,745,2023-06-02 15:00:00,157,-14,12892,On Time
500041,Vistara,Bengaluru,Mumbai,1654,2023-06-02 16:00:00,123,137,12042,On Time
500042,Akasa Air,Delhi,Chennai,1441,2023-06-02 17:00:00,117,128,13886,Cancelled
500043,Air India,Mumbai,Kolkata,2070,2023-06-02 18:00:00,36,155,11761,On Time
500044,IndiGo,Kolkata,Bengaluru,2002,2023-06-02 19:00:00,134,43,3349,Delayed
500045,IndiGo,Bengaluru,Kolkata,2257,2023-06-02 20:00:00,23,30,14185,On Time
500046,SpiceJet,Hyderabad,Chennai,552,2023-06-02 21:00:00,33,59,15461,On Time
500047,Air India,Delhi,Chennai,1594,2023-06-02 22:00:00,-5,65,7770,Delayed
500048,SpiceJet,Delhi,Delhi,961,2023-06-02 23:00:00,88,95,14311,On Time
500049,Akasa Air,Bengaluru,Chennai,2065,2023-06-03 00:00:00,115,153,3446,Cancelled
500050,Akasa Air,Chennai,Hyderabad,720,2023-06-03 01:00:00,160,59,9839,On Time
500051,Akasa Air,Bengaluru,Delhi,362,2023-06-03 02:00:00,148,13,17429,Cancelled
500052,Air India,Chennai,Hyderabad,1407,2023-06-03 03:00:00,82,59,11303,Delayed
500053,IndiGo,Delhi,Delhi,1284,2023-06-03 04:00:00,170,169,2923,On Time
500054,Vistara,Chennai,Mumbai,1078,2023-06-03 05:00:00,3,86,16366,On Time
500055,Vistara,Chennai,Bengaluru,2092,2023-06-03 06:00:00,10,164,10114,Delayed
500056,Vistara,Hyderabad,Bengaluru,469,2023-06-03 07:00:00,70,188,10843,On Time
500057,IndiGo,Kolkata,Chennai,1633,2023-06-03 08:00:00,122,68,15690,Delayed
500058,IndiGo,Chennai,Bengaluru,1026,2023-06-03 09:00:00,134,41,4180,On Time
500059,Air India,Mumbai,Mumbai,1143,2023-06-03 10:00:00,21,19,17163,On Time
500060,Vistara,Kolkata,Delhi,2376,2023-06-03 11:00:00,96,15,17583,On Time
500061,Air India,Delhi,Hyderabad,2321,2023-06-03 12:00:00,172,97,6045,Delayed
500062,Air India,Kolkata,Hyderabad,1077,2023-06-03 13:00:00,16,171,7384,On Time
500063,IndiGo,Chennai,Chennai,346,2023-06-03 14:00:00,34,155,16578,On Time
500064,Vistara,Kolkata,Bengaluru,1796,2023-06-03 15:00:00,148,44,10148,On Time
500065,Vistara,Mumbai,Delhi,643,2023-06-03 16:00:00,112,74,15974,On Time
500066,IndiGo,Delhi,Mumbai,2033,2023-06-03 17:00:00,170,25,3626,Delayed
500067,Air India,Kolkata,Delhi,2042,2023-06-03 18:00:00,117,185,3675,On Time
500068,SpiceJet,Hyderabad,Chennai,2417,2023-06-03 19:00:00,22,196,5171,Delayed
500069,IndiGo,Mumbai,Chennai,2317,2023-06-03 20:00:00,18,114,3574,On Time
500070,Air India,Mumbai,Hyderabad,754,2023-06-03 21:00:00,177,166,9467,Cancelled
500071,Akasa Air,Kolkata,Hyderabad,2159,2023-06-03 22:00:00,102,185,12123,On Time
500072,SpiceJet,Hyderabad,Hyderabad,889,2023-06-03 23:00:00,116,137,15450,Delayed
500073,Vistara,Kolkata,Chennai,966,2023-06-04 00:00:00,92,169,17891,On Time
500074,IndiGo,Kolkata,Kolkata,587,2023-06-04 01:00:00,48,101,15407,On Time
500075,Akasa Air,Bengaluru,Delhi,1759,2023-06-04 02:00:00,67,146,6533,On Time
500076,Vistara,Kolkata,Delhi,2386,2023-06-04 03:00:00,50,45,14303,Delayed
500077,Vistara,Hyderabad,Kolkata,1776,2023-06-04 04:00:00,106,69,9665,On Time
500078,IndiGo,Hyderabad,Kolkata,1414,2023-06-04 05:00:00,77,155,4575,On Time
500079,Air India,Hyderabad,Chennai,1290,2023-06-04 06:00:00,148,185,17059,On Time
500080,SpiceJet,Bengaluru,Hyderabad,1034,2023-06-04 07:00:00,175,164,8985,On Time
500081,Air India,Hyderabad,Mumbai,780,2023-06-04 08:00:00,88,39,6287,Delayed
500082,IndiGo,Bengaluru,Kolkata,997,2023-06-04 09:00:00,2,18,4168,On Time
