flight_id,airline,origin_airport,destination_airport,scheduled_departure_min,departure_delay_min,arrival_delay_min,cancelled,weather_delay_min,air_traffic_delay_min
1,Qatar Airways,BLR,CCU,303,131,159,0,92,84
2,SpiceJet,BOM,BLR,578,89,193,0,69,60
3,Go First,CCU,BOM,220,127,188,0,47,79
4,Qatar Airways,DEL,MAA,978,157,-9,0,8,29
5,Vistara,BOM,CCU,1187,88,35,0,114,68
6,Go First,MAA,BOM,374,55,243,0,49,59
7,Go First,HYD,BLR,1243,36,162,0,68,5
8,Qatar Airways,MAA,CCU,1277,220,15,0,47,84
9,Air India,HYD,CCU,187,297,302,0,38,10
10,Vistara,MAA,DEL,1214,135,138,0,82,23
11,Qatar Airways,BLR,BOM,1412,196,39,0,4,91
12,Vistara,BOM,HYD,1238,135,140,0,83,78
13,Vistara,HYD,HYD,1398,141,28,0,10,50
14,Go First,DEL,DEL,1109,268,65,0,118,18
15,SpiceJet,BOM,BLR,473,129,150,0,113,49
16,Vistara,DEL,HYD,843,140,14,0,59,80
17,Emirates,BOM,HYD,530,10,306,0,26,2
18,Go First,BOM,MAA,1070,243,120,0,92,2
19,Air India,MAA,BOM,1088,53,-2,0,6,91
20,SpiceJet,HYD,BLR,962,207,90,0,59,30
21,Emirates,HYD,CCU,474,61,302,0,49,46
22,Emirates,BOM,BOM,1169,151,59,0,66,7
23,Air India,BLR,BLR,945,119,63,0,68,16
24,SpiceJet,BLR,HYD,1405,58,178,0,54,98
25,Go First,DEL,MAA,1089,214,80,0,76,99
26,IndiGo,DEL,BOM,516,235,24,0,15,90
27,SpiceJet,MAA,HYD,1116,57,240,0,117,44
28,Air India,BOM,BLR,425,96,91,0,11,96
29,Emirates,DEL,BOM,1117,98,1,0,102,59
30,Go First,DEL,CCU,132,92,-1,1,26,74
31,SpiceJet,CCU,BOM,1364,130,256,0,117,20
32,IndiGo,BOM,HYD,313,54,-3,0,108,69
33,IndiGo,MAA,BOM,590,123,231,0,32,20
34,Vistara,DEL,CCU,1235,188,198,0,78,57
35,Vistara,MAA,MAA,1008,144,135,0,84,54
36,Qatar Airways,HYD,MAA,158,68,276,0,107,27
37,Air India,MAA,HYD,1291,239,27,0,80,80
38,SpiceJet,BLR,BLR,660,76,98,0,54,81
39,SpiceJet,BLR,HYD,747,293,314,0,51,74
40,Qatar Airways,MAA,MAA,800,230,65,0,36,45
41,Emirates,BLR,DEL,409,77,125,0,112,43
42,Emirates,HYD,DEL,1379,161,14,1,119,88
43,Qatar Airways,BOM,BOM,679,6,14,0,14,93
44,Emirates,BLR,CCU,1216,212,250,0,83,24
45,Vistara,BLR,BOM,1294,283,83,0,82,70
46,SpiceJet,MAA,DEL,113,299,78,0,64,48
47,Qatar Airways,HYD,MAA,896,208,195,0,67,45
48,SpiceJet,BOM,BOM,1078,223,279,0,2,90
49,IndiGo,MAA,HYD,64,237,21,0,71,89
50,Vistara,MAA,CCU,683,41,73,0,104,62
51,Go First,CCU,HYD,1295,4,239,0,107,76
52,Vistara,HYD,CCU,1385,101,198,1,4,87
53,Qatar Airways,BOM,MAA,145,173,-2,0,8,11
54,Go First,HYD,BOM,942,-4,176,0,0,77
55,IndiGo,BOM,CCU,1232,40,279,0,118,56
56,Qatar Airways,HYD,HYD,1309,230,166,0,106,72
57,Air India,MAA,BOM,1033,234,114,0,29,63
58,SpiceJet,MAA,BOM,738,175,208,0,70,30
59,IndiGo,DEL,HYD,185,276,27,0,85,3
60,SpiceJet,BLR,DEL,1157,81,165,0,19,53
61,Emirates,CCU,CCU,834,95,153,0,92,82
62,Air India,HYD,HYD,808,2,248,0,26,64
63,Air India,CCU,MAA,170,135,80,0,88,92
64,IndiGo,DEL,BLR,212,108,187,0,109,5
65,Air India,BLR,HYD,26,192,305,0,98,64
66,Go First,HYD,BOM,1013,130,319,0,90,88
67,Air India,BOM,BOM,1091,104,52,0,62,90
68,SpiceJet,BLR,HYD,789,141,76,1,74,21
69,SpiceJet,MAA,BLR,407,46,250,0,80,16
70,Qatar Airways,DEL,HYD,1132,146,315,0,30,58
71,SpiceJet,BLR,BLR,73,299,162,0,81,28
72,Qatar Airways,BLR,BLR,577,122,135,0,18,66
73,SpiceJet,MAA,MAA,679,152,301,0,113,16
74,Go First,HYD,CCU,1285,264,31,0,101,1
75,Qatar Airways,BOM,BOM,1391,172,-13,0,92,31
76,Vistara,MAA,BOM,785,66,87,0,78,21
77,Emirates,BOM,BLR,848,33,257,0,61,96
78,IndiGo,HYD,BOM,869,195,6,0,6,57
79,SpiceJet,BLR,DEL,236,27,100,0,100,52
80,Air India,BOM,BLR,726,11,88,0,36,85
81,SpiceJet,DEL,BOM,1389,62,243,0,70,46
82,Air India,DEL,DEL,1309,230,292,0,85,3
83,Emirates,MAA,MAA,377,143,282,0,75,37
84,Emirates,HYD,BOM,660,226,114,0,7,12
85,Emirates,MAA,DEL,829,-6,279,0,56,60
86,Air India,MAA,HYD,905,210,286,0,81,86
87,SpiceJet,CCU,CCU,375,299,32,0,27,63
88,Emirates,MAA,HYD,618,75,11,0,81,76
89,Go First,CCU,DEL,652,166,-1,0,94,83
90,Qatar Airways,DEL,BLR,1099,248,247,0,16,32
91,Air India,DEL,BLR,1032,209,282,0,86,97
92,Air India,MAA,BOM,195,27,249,0,10,37
93,SpiceJet,DEL,HYD,806,131,118,0,14,28
94,Air India,HYD,BLR,892,224,60,0,29,60
95,Air India,CCU,BLR,1313,192,14,0,115,31
96,Emirates,CCU,HYD,1084,283,110,0,94,10
97,SpiceJet,MAA,MAA,936,161,68,0,5,17
98,Emirates,DEL,BLR,1412,114,38,0,11,44
99,Qatar Airways,BOM,CCU,846,54,267,0,86,20
100,Qatar Airways,CCU,DEL,817,270,247,0,60,11
101,Emirates,MAA,BOM,563,261,206,0,102,19
102,Qatar Airways,MAA,BLR,633,233,312,0,103,6
103,SpiceJet,HYD,CCU,678,4,-14,0,35,90
104,IndiGo,BLR,CCU,1017,215,290,0,34,70
105,Emirates,BLR,BLR,7,120,130,0,66,1
106,Go First,CCU,MAA,1392,184,2,0,105,42
107,Go First,HYD,DEL,1068,282,0,0,119,96
108,Air India,HYD,BOM,343,198,292,0,91,20
109,Qatar Airways,HYD,BLR,795,102,143,0,78,28
110,Go First,CCU,BOM,1398,233,282,0,76,31
111,Air India,BLR,HYD,1050,155,193,1,62,44
112,IndiGo,HYD,CCU,1216,180,189,0,82,75
113,SpiceJet,DEL,CCU,848,246,97,0,39,76
114,SpiceJet,MAA,BLR,1380,207,162,0,81,58
115,SpiceJet,MAA,BLR,61,264,193,0,30,2
116,Go First,BOM,HYD,1085,41,108,0,36,38
117,IndiGo,BOM,MAA,421,147,-1,0,84,50
118,Go First,CCU,BLR,632,44,282,0,102,7
119,Qatar Airways,CCU,CCU,791,3,29,1,4,45
120,Go First,MAA,BOM,550,258,78,0,114,65
121,IndiGo,DEL,DEL,1403,79,91,0,80,5
122,IndiGo,BLR,BOM,1300,16,262,0,82,57
123,Qatar Airways,BLR,MAA,605,78,112,0,3,40
124,IndiGo,CCU,DEL,1138,30,22,0,117,78
125,IndiGo,DEL,BOM,1144,293,81,0,25,53
126,SpiceJet,CCU,BOM,524,257,182,0,23,75
127,Qatar Airways,BLR,HYD,898,127,176,0,38,40
128,Vistara,CCU,MAA,1439,-5,-9,0,55,47
129,Vistara,HYD,CCU,162,231,28,0,53,95
130,IndiGo,CCU,HYD,786,151,316,0,37,69
131,Vistara,MAA,DEL,909,169,-9,0,109,26
132,Vistara,CCU,CCU,981,286,178,0,53,46
133,IndiGo,MAA,HYD,1360,-5,300,0,18,76
134,Vistara,DEL,MAA,378,260,-15,0,93,22
135,Go First,BLR,BLR,1347,261,46,0,25,73
136,Air India,BOM,BLR,172,145,73,0,51,13
137,Qatar Airways,BOM,DEL,999,74,2,0,74,60
138,Air India,BLR,BLR,63,189,92,0,117,66
139,IndiGo,BOM,HYD,1124,-1,119,0,60,75
140,SpiceJet,CCU,DEL,1345,127,294,0,102,24
141,Qatar Airways,DEL,CCU,974,231,51,0,66,64
142,IndiGo,DEL,MAA,65,190,77,0,115,95
143,SpiceJet,BLR,DEL,457,145,122,0,21,23
144,Air India,BOM,CCU,452,264,173,0,16,52
145,IndiGo,CCU,DEL,1282,214,43,0,10,72
146,Qatar Airways,DEL,BOM,978,57,171,0,110,49
147,Qatar Airways,DEL,BOM,177,173,219,0,38,0
148,Emirates,HYD,DEL,279,184,53,0,60,38
149,Go First,HYD,BLR,343,31,82,0,110,73
150,Vistara,DEL,BOM,1040,140,-8,0,90,43
151,SpiceJet,BLR,MAA,295,73,295,0,48,93
152,Emirates,MAA,CCU,201,123,118,0,106,4
153,Vistara,MAA,HYD,961,298,40,1,92,67
154,Vistara,CCU,BOM,683,287,98,0,60,71
155,IndiGo,DEL,DEL,1217,19,72,0,11,79
156,Vistara,DEL,BLR,1172,-2,122,0,12,64
157,Go First,DEL,HYD,374,159,92,0,57,78
158,Qatar Airways,BLR,CCU,34,279,7,0,10,87
159,Emirates,HYD,CCU,1392,157,128,0,63,14
160,Vistara,DEL,BOM,28,134,128,0,30,49
161,IndiGo,DEL,CCU,774,217,40,0,10,5
162,Go First,BOM,CCU,220,295,92,1,104,65
163,Air India,BLR,BLR,52,65,-10,0,42,68
164,Qatar Airways,CCU,BLR,790,212,14,0,35,38
165,Qatar Airways,DEL,BLR,1376,166,291,0,1,97
166,Emirates,BOM,DEL,1415,178,111,0,86,95
167,Qatar Airways,MAA,CCU,75,291,286,0,60,28
168,Vistara,CCU,CCU,493,35,105,0,35,92
169,IndiGo,DEL,CCU,116,6,83,0,77,87
170,Qatar Airways,DEL,MAA,279,55,150,0,100,45
171,Qatar Airways,BOM,BLR,1198,250,309,0,48,30
172,Air India,BLR,HYD,745,112,303,0,26,23
173,Air India,DEL,BOM,948,220,225,0,11,14
174,SpiceJet,MAA,HYD,763,114,34,0,57,75
175,Go First,DEL,DEL,294,101,252,0,92,19
176,Vistara,MAA,DEL,1017,261,309,0,5,3
177,Qatar Airways,CCU,CCU,1044,70,57,0,43,57
178,Qatar Airways,CCU,HYD,1096,235,284,0,46,76
179,IndiGo,HYD,CCU,841,204,36,0,22,60
180,SpiceJet,HYD,MAA,1059,224,249,0,114,9
181,Go First,MAA,DEL,1256,71,211,0,73,40
182,SpiceJet,BLR,DEL,496,283,177,0,97,52
183,Emirates,DEL,HYD,205,299,223,0,107,86
184,Go First,DEL,DEL,425,65,-6,1,75,70
185,Qatar Airways,HYD,MAA,43,4,286,0,95,75
186,Qatar Airways,MAA,MAA,1114,209,212,0,25,47
187,Go First,DEL,MAA,604,219,277,0,6,14
188,Qatar Airways,DEL,BOM,453,254,36,0,31,6
189,Vistara,BLR,MAA,594,253,224,0,32,71
190,Go First,BOM,MAA,1356,99,83,0,81,70
191,SpiceJet,HYD,BOM,506,296,65,0,98,42
192,Go First,HYD,CCU,793,189,-3,0,19,3
193,Qatar Airways,BOM,BLR,20,215,112,0,94,50
194,Vistara,DEL,DEL,1251,174,288,0,68,70
195,Vistara,BLR,MAA,1399,20,-5,0,95,58
196,Emirates,BLR,DEL,1153,91,65,0,51,40
197,SpiceJet,HYD,HYD,619,248,245,0,110,60
198,Air India,BLR,DEL,413,88,-10,0,41,29
199,Air India,CCU,CCU,1094,288,206,0,82,17
200,Go First,BOM,BOM,1427,274,282,0,0,29
201,Emirates,DEL,DEL,1420,255,65,0,62,6
202,IndiGo,CCU,DEL,336,129,-13,0,6,51
203,Go First,BOM,DEL,909,291,44,0,57,47
204,Emirates,MAA,BLR,275,275,205,0,85,22
205,SpiceJet,HYD,BLR,891,205,33,0,49,36
206,SpiceJet,BLR,HYD,12,21,212,1,33,70
207,SpiceJet,MAA,BOM,1026,292,274,0,50,92
208,SpiceJet,BLR,DEL,977,77,277,0,119,97
209,SpiceJet,CCU,DEL,1247,52,282,0,119,52
210,Emirates,DEL,DEL,973,268,177,0,9,44
211,Emirates,DEL,DEL,174,63,241,0,110,48
212,Vistara,DEL,BLR,1408,295,87,0,105,48
213,Air India,BLR,CCU,240,113,130,0,25,81
214,Qatar Airways,MAA,CCU,546,258,274,0,31,46
215,SpiceJet,DEL,HYD,13,274,241,0,41,24
216,IndiGo,MAA,MAA,1218,110,293,0,90,90
217,Qatar Airways,BLR,BOM,1420,201,262,1,61,26
218,Emirates,CCU,CCU,1329,137,173,0,11,11
219,IndiGo,MAA,DEL,1357,67,162,0,39,22
220,IndiGo,CCU,CCU,724,3,0,1,86,16
221,IndiGo,BLR,HYD,1433,125,70,0,77,43
222,Vistara,BLR,MAA,2,293,232,0,33,70
223,Emirates,HYD,CCU,690,269,201,0,80,23
224,IndiGo,BLR,HYD,746,68,26,0,69,70
225,SpiceJet,BLR,BLR,768,232,178,0,26,92
226,Go First,BOM,MAA,871,182,311,0,7,59
227,IndiGo,DEL,HYD,494,231,147,0,96,52
228,Vistara,HYD,CCU,416,40,260,0,98,91
229,Qatar Airways,HYD,BLR,1414,221,114,0,46,86
230,Emirates,HYD,HYD,1396,248,247,0,80,73
231,Vistara,BOM,HYD,627,207,161,0,25,15
232,IndiGo,CCU,CCU,1075,195,249,0,56,97
233,Emirates,BLR,MAA,1399,109,11,0,6,24
234,Go First,DEL,BLR,1418,69,69,0,109,65
235,IndiGo,MAA,DEL,1020,31,180,0,87,49
