Loan_ID,Customer_ID,Bank_Branch,Loan_Type,Applicant_Age,Annual_Income,Loan_Amount,Loan_Term_Years,Credit_Score,Employment_Type,Loan_Status
700001,873630,Delhi NCR,Personal Loan,29,274177,349156,5,419,Self-Employed,Approved
700002,377869,Hyderabad West,Education Loan,60,4430117,1255412,10,307,Business Owner,Approved
700003,128030,Hyderabad West,Home Loan,57,3385982,1305869,25,631,Self-Employed,Approved
700004,117730,Delhi NCR,Education Loan,47,4254046,738203,30,699,Self-Employed,Rejected
700005,292476,Bengaluru Urban,Personal Loan,46,3469047,631505,20,849,Self-Employed,Approved
700006,294278,Delhi NCR,Personal Loan,54,621384,2257448,30,460,Business Owner,Approved
700007,770737,Bengaluru Urban,Home Loan,50,219315,1162475,5,390,Self-Employed,Approved
700008,753418,Chennai South,Business Loan,27,375654,2136185,5,378,Business Owner,Approved
700009,146203,Mumbai Central,Personal Loan,45,3406941,456457,20,814,Self-Employed,Rejected
700010,320374,Chennai South,Car Loan,22,3322622,518838,25,456,Self-Employed,Rejected
700011,253313,Bengaluru Urban,Personal Loan,28,2020626,1928332,20,426,Self-Employed,Rejected
700012,165632,Hyderabad West,Car Loan,51,2981872,1407845,25,361,Self-Employed,Approved
700013,548625,Chennai South,Home Loan,50,869112,754306,15,828,Business Owner,Approved
700014,349903,Chennai South,Business Loan,46,716514,2569263,15,793,Self-Employed,Rejected
700015,218857,Hyderabad West,Education Loan,42,1460479,2523366,25,825,Self-Employed,Approved
700016,695488,Hyderabad West,Personal Loan,34,4499304,2908336,25,778,Salaried,Approved
700017,789070,Bengaluru Urban,Personal Loan,49,549848,2121843,30,735,Self-Employed,Rejected
700018,614272,Hyderabad West,Personal Loan,54,2493270,1468610,25,466,Self-Employed,Approved
700019,296719,Hyderabad West,Personal Loan,25,1419316,434522,30,528,Business Owner,Approved
700020,857145,Chennai South,Education Loan,27,841303,1845961,20,423,Business Owner,Approved
700021,510963,Mumbai Central,Home Loan,42,2967754,666871,10,453,Self-Employed,Rejected
700022,659950,Mumbai Central,Education Loan,31,2937712,1017829,5,429,Business Owner,Rejected
700023,562077,Hyderabad West,Education Loan,28,4360315,440825,20,401,Salaried,Approved
700024,852036,Bengaluru Urban,Personal Loan,46,3822055,804841,10,498,Self-Employed,Approved
700025,508160,Hyderabad West,Home Loan,43,4046912,1728890,30,678,Business Owner,Approved
700026,754544,Chennai South,Education Loan,63,2418022,1098857,30,486,Self-Employed,Rejected
700027,969444,Mumbai Central,Education Loan,56,1442321,2038068,25,460,Self-Employed,Approved
700028,959953,Delhi NCR,Car Loan,35,4308273,1692349,10,704,Salaried,Rejected
700029,609751,Delhi NCR,Car Loan,21,4548670,101967,20,870,Salaried,Rejected
700030,407651,Chennai South,Personal Loan,35,3220551,2280935,15,775,Self-Employed,Approved
700031,781986,Chennai South,Home Loan,47,1447230,1310779,30,603,Salaried,Rejected
700032,345799,Delhi NCR,Personal Loan,49,1471101,1241011,20,541,Business Owner,Approved
700033,838626,Bengaluru Urban,Education Loan,29,1292335,1870510,30,857,Salaried,Rejected
700034,483572,Mumbai Central,Home Loan,50,4323719,2571784,30,851,Self-Employed,Approved
700035,654543,Hyderabad West,Car Loan,25,3605713,721813,30,464,Business Owner,Approved
700036,630936,Bengaluru Urban,Business Loan,39,2788684,1567969,10,734,Salaried,Approved
700037,843357,Bengaluru Urban,Car Loan,32,1748523,137476,15,391,Salaried,Approved
700038,385872,Bengaluru Urban,Personal Loan,35,2561476,640608,10,540,Self-Employed,Rejected
700039,707367,Delhi NCR,Education Loan,64,743331,617851,20,535,Business Owner,Approved
700040,486921,Chennai South,Car Loan,29,4871752,2650242,30,508,Business Owner,Approved
700041,366339,Mumbai Central,Personal Loan,33,2849207,1444060,25,516,Business Owner,Approved
700042,888860,Mumbai Central,Car Loan,55,2817175,1564571,25,347,Self-Employed,Rejected
700043,370172,Delhi NCR,Business Loan,50,2772553,1160914,25,385,Self-Employed,Approved
700044,234324,Mumbai Central,Home Loan,37,2366006,1701090,15,647,Salaried,Approved
700045,980481,Delhi NCR,Business Loan,54,1316169,1152743,10,721,Salaried,Approved
700046,874357,Hyderabad West,Education Loan,31,2227940,2333681,10,669,Business Owner,Approved
700047,195070,Chennai South,Car Loan,21,1699556,1907078,15,433,Self-Employed,Rejected
700048,692162,Delhi NCR,Personal Loan,24,1619781,2498128,25,560,Self-Employed,Approved
700049,155265,Delhi NCR,Business Loan,43,777588,172841,25,560,Salaried,Approved
700050,968940,Bengaluru Urban,Personal Loan,29,2735640,414823,10,608,Business Owner,Rejected
700051,601416,Mumbai Central,Car Loan,62,4137374,1188658,15,618,Self-Employed,Rejected
700052,644643,Mumbai Central,Education Loan,59,1098466,84334,25,358,Self-Employed,Approved
700053,374538,Mumbai Central,Business Loan,58,712174,130650,30,631,Salaried,Approved
700054,739813,Hyderabad West,Car Loan,49,4248400,1311541,10,483,Salaried,Approved
700055,561376,Mumbai Central,Education Loan,21,2698560,1370942,15,891,Business Owner,Approved
700056,743915,Hyderabad West,Home Loan,32,2232945,1596476,15,723,Self-Employed,Rejected
700057,953410,Hyderabad West,Car Loan,27,3819988,788763,10,595,Salaried,Rejected
700058,436698,Chennai South,Home Loan,26,621315,195008,15,424,Self-Employed,Approved
700059,240682,Delhi NCR,Car Loan,38,1506044,2072641,5,830,Salaried,Approved
700060,226742,Mumbai Central,Business Loan,63,3155493,573855,15,714,Self-Employed,Approved
700061,310637,Hyderabad West,Education Loan,43,4304759,2975428,25,493,Business Owner,Approved
700062,882482,Hyderabad West,Personal Loan,59,3130290,1943368,20,418,Self-Employed,Approved
700063,123012,Bengaluru Urban,Business Loan,64,729621,2019994,5,481,Salaried,Approved
700064,451211,Chennai South,Personal Loan,40,2417693,2926954,15,335,Self-Employed,Approved
700065,677947,Bengaluru Urban,Car Loan,44,1357255,1455390,30,878,Salaried,Approved
700066,437661,Bengaluru Urban,Car Loan,55,4108927,2950539,25,537,Salaried,Approved
700067,288396,Bengaluru Urban,Car Loan,63,2584812,1659117,20,671,Business Owner,Approved
700068,393022,Hyderabad West,Home Loan,51,649255,1682358,15,575,Self-Employed,Approved
700069,291668,Bengaluru Urban,Home Loan,48,508055,1083355,25,508,Salaried,Approved
700070,648422,Delhi NCR,Business Loan,39,850317,2007333,20,885,Self-Employed,Approved
700071,773133,Hyderabad West,Personal Loan,55,3138042,1620691,20,692,Business Owner,Rejected
700072,845843,Chennai South,Car Loan,35,1101340,255299,25,747,Self-Employed,Rejected
700073,406330,Mumbai Central,Car Loan,57,2033317,1184859,5,650,Business Owner,Approved
700074,700784,Hyderabad West,Business Loan,60,1830175,1211761,30,823,Self-Employed,Approved
700075,354342,Delhi NCR,Personal Loan,61,1140935,2357170,10,854,Business Owner,Approved
700076,730542,Mumbai Central,Car Loan,63,909508,1523500,15,742,Self-Employed,Rejected
700077,234388,Hyderabad West,Home Loan,60,212945,2391118,15,370,Self-Employed,Approved
700078,776199,Delhi NCR,Car Loan,48,4865908,450890,5,366,Business Owner,Approved
700079,521835,Chennai South,Education Loan,59,1384327,737158,25,446,Salaried,Approved
700080,936534,Mumbai Central,Home Loan,49,4555703,1399078,20,424,Business Owner,Rejected
700081,281377,Hyderabad West,Education Loan,31,1029387,1555166,15,897,Self-Employed,Rejected
700082,633035,Chennai South,Home Loan,21,3449159,1727693,10,579,Salaried,Rejected
700083,660314,Hyderabad West,Car Loan,24,2623103,1850552,10,513,Self-Employed,Rejected
700084,994309,Delhi NCR,Personal Loan,58,1822982,2151934,30,481,Business Owner,Approved
700085,829783,Hyderabad West,Car Loan,34,824558,1145439,5,545,Business Owner,Approved
700086,950457,Delhi NCR,Home Loan,21,3960462,652743,15,723,Salaried,Rejected
700087,499794,Delhi NCR,Education Loan,35,4774044,935732,20,771,Business Owner,Approved
700088,536180,Chennai South,Personal Loan,64,1098969,2128211,15,313,Salaried,Rejected
700089,435672,Bengaluru Urban,Business Loan,49,4174599,135522,20,637,Self-Employed,Approved
700090,199633,Hyderabad West,Business Loan,51,4461630,620137,5,852,Self-Employed,Approved
700091,869804,Hyderabad West,Car Loan,24,1617207,2969107,15,457,Business Owner,Approved
700092,825522,Bengaluru Urban,Personal Loan,47,4916740,2096083,20,789,Self-Employed,Approved
700093,619633,Bengaluru Urban,Business Loan,64,548913,1711404,15,496,Self-Employed,Approved
700094,240801,Mumbai Central,Personal Loan,29,3655891,2385188,15,599,Salaried,Approved
700095,727628,Hyderabad West,Personal Loan,41,3162498,2588104,20,795,Salaried,Approved
700096,394773,Hyderabad West,Education Loan,31,3844153,606424,20,663,Salaried,Rejected
700097,811736,Hyderabad West,Car Loan,31,2127877,2736577,15,554,Business Owner,Approved
700098,228945,Chennai South,Personal Loan,55,1993315,2470372,20,328,Salaried,Approved
700099,370678,Mumbai Central,Car Loan,44,4302257,1970503,20,427,Business Owner,Approved
700100,737443,Chennai South,Home Loan,53,3170474,2203807,10,573,Self-Employed,Approved
700101,823417,Mumbai Central,Home Loan,59,2515535,1072594,25,726,Self-Employed,Approved
700102,980231,Hyderabad West,Personal Loan,61,3474155,2360673,30,533,Self-Employed,Approved
700103,633993,Delhi NCR,Business Loan,62,2221892,2814835,10,541,Self-Employed,Approved
700104,695851,Delhi NCR,Car Loan,33,1544185,556966,15,806,Business Owner,Approved
