customer_id,region,marketing_channel,campaign_type,before_campaign_sales,after_campaign_sales,before_campaign_visits,after_campaign_visits,conversion_rate_before,conversion_rate_after,campaign_cost_usd,customer_retained
1,South America,TV Ads,Discount,2444,2983,21,18,2.5,10.31,8383,1
2,Europe,TV Ads,Brand Awareness,697,4856,2,101,5.0,4.48,10613,0
3,Middle East,Email,New Product Launch,2681,6785,32,69,2.57,4.94,4858,1
4,Middle East,Influencer,Brand Awareness,4109,2302,46,28,1.78,6.18,14024,0
5,South America,Social Media,Discount,4251,4458,24,51,4.67,11.17,17169,1
6,Europe,Email,New Product Launch,1195,4435,39,106,2.92,5.88,6541,0
7,North America,Email,New Product Launch,4189,2136,28,72,0.82,6.61,1410,1
8,Europe,Email,Brand Awareness,365,5302,3,32,2.12,9.54,13733,1
9,Asia,Influencer,New Product Launch,1821,6895,25,114,1.0,4.0,16288,1
10,Asia,TV Ads,New Product Launch,3781,8056,37,117,4.56,11.52,10573,1
11,North America,Google Ads,Discount,2520,1907,42,28,1.16,6.9,7969,0
12,South America,Social Media,Brand Awareness,870,6770,31,26,3.34,4.19,13959,1
13,North America,Influencer,Discount,3816,6439,48,32,1.67,7.25,5995,0
14,South America,Google Ads,Discount,1084,7525,42,70,1.54,10.17,17069,0
15,North America,Influencer,Discount,4672,4775,28,81,2.26,7.0,13184,1
16,Middle East,TV Ads,Discount,1076,2484,45,49,2.11,2.8,2327,0
17,Asia,Influencer,New Product Launch,2546,1241,46,84,3.15,11.07,10120,1
18,Middle East,Influencer,Discount,587,7713,35,58,3.18,6.45,15511,1
19,South America,TV Ads,Discount,3632,4608,19,76,0.9,6.48,6808,1
20,South America,Social Media,Discount,2484,6071,11,73,1.94,3.66,1802,1
21,North America,TV Ads,Discount,1122,2361,6,32,2.79,3.9,6500,1
22,North America,Google Ads,Discount,4480,2995,21,5,1.73,4.55,18918,1
23,North America,Influencer,Discount,369,7859,45,59,1.52,1.81,9873,0
