Order_ID,Order_Date,Customer_ID,Customer_Region,Product_Category,Product_Name,Unit_Price,Quantity,Payment_Mode,Order_Status,Total_Amount
100001,2023-01-01 00:00:00,8270,Central,Beauty,Item_B,5376,3,UPI,In Transit,16128
100002,2023-01-01 01:00:00,1860,West,Electronics,Item_E,36361,9,Credit Card,In Transit,327249
100003,2023-01-01 02:00:00,6390,Central,Clothing,Item_B,42725,3,Credit Card,Delivered,128175
100004,2023-01-01 03:00:00,6191,West,Books,Item_B,15364,1,Debit Card,Cancelled,15364
100005,2023-01-01 04:00:00,6734,Central,Beauty,Item_B,12422,2,Cash,Delivered,24844
100006,2023-01-01 05:00:00,7265,South,Books,Item_B,25579,4,Debit Card,Delivered,102316
100007,2023-01-01 06:00:00,1466,West,Beauty,Item_A,25853,2,Cash,Delivered,51706
100008,2023-01-01 07:00:00,5426,North,Books,Item_D,18216,4,UPI,Returned,72864
100009,2023-01-01 08:00:00,6578,West,Clothing,Item_A,18568,4,UPI,Cancelled,74272
100010,2023-01-01 09:00:00,9322,South,Books,Item_C,23705,4,Debit Card,Cancelled,94820
100011,2023-01-01 10:00:00,2685,West,Electronics,Item_C,32971,1,Net Banking,In Transit,32971
100012,2023-01-01 11:00:00,1769,Central,Books,Item_D,40445,9,Credit Card,In Transit,364005
100013,2023-01-01 12:00:00,7949,Central,Beauty,Item_D,38966,7,Debit Card,Returned,272762
100014,2023-01-01 13:00:00,3433,South,Home & Kitchen,Item_D,33570,2,Debit Card,Delivered,67140
100015,2023-01-01 14:00:00,6311,East,Books,Item_B,7456,3,UPI,In Transit,22368
100016,2023-01-01 15:00:00,6051,Central,Books,Item_A,43527,8,Credit Card,Cancelled,348216
100017,2023-01-01 16:00:00,7420,North,Books,Item_C,46654,7,Debit Card,In Transit,326578
100018,2023-01-01 17:00:00,2184,South,Beauty,Item_A,28451,4,UPI,Delivered,113804
100019,2023-01-01 18:00:00,5555,West,Books,Item_A,46941,4,UPI,Returned,187764
100020,2023-01-01 19:00:00,4385,West,Beauty,Item_A,32177,9,Debit Card,Delivered,289593
100021,2023-01-01 20:00:00,7396,North,Beauty,Item_D,32864,5,Debit Card,In Transit,164320
100022,2023-01-01 21:00:00,9666,Central,Home & Kitchen,Item_D,6914,5,UPI,Returned,34570
100023,2023-01-01 22:00:00,3558,South,Electronics,Item_C,41344,7,Debit Card,Returned,289408
100024,2023-01-01 23:00:00,8849,North,Beauty,Item_C,11901,1,Credit Card,Delivered,11901
100025,2023-01-02 00:00:00,3047,Central,Clothing,Item_C,15091,3,UPI,In Transit,45273
100026,2023-01-02 01:00:00,3747,South,Books,Item_A,36219,2,UPI,Delivered,72438
100027,2023-01-02 02:00:00,1189,West,Clothing,Item_D,27716,6,Debit Card,In Transit,166296
100028,2023-01-02 03:00:00,3734,South,Books,Item_B,41112,6,Debit Card,In Transit,246672
100029,2023-01-02 04:00:00,4005,East,Home & Kitchen,Item_A,49406,1,Debit Card,Cancelled,49406
100030,2023-01-02 05:00:00,5658,South,Beauty,Item_E,10116,6,Credit Card,Returned,60696
100031,2023-01-02 06:00:00,2899,East,Electronics,Item_A,3110,2,UPI,In Transit,6220
100032,2023-01-02 07:00:00,8734,South,Beauty,Item_D,18454,4,Net Banking,Delivered,73816
100033,2023-01-02 08:00:00,2267,East,Books,Item_E,44450,6,Credit Card,Delivered,266700
100034,2023-01-02 09:00:00,2528,West,Electronics,Item_A,36316,3,Credit Card,Cancelled,108948
100035,2023-01-02 10:00:00,4556,Central,Beauty,Item_D,18185,3,UPI,Cancelled,54555
100036,2023-01-02 11:00:00,4890,East,Electronics,Item_D,22351,3,Net Banking,Cancelled,67053
100037,2023-01-02 12:00:00,9838,East,Books,Item_B,6030,4,UPI,Returned,24120
100038,2023-01-02 13:00:00,6393,West,Home & Kitchen,Item_A,44497,9,Credit Card,Cancelled,400473
100039,2023-01-02 14:00:00,9792,East,Home & Kitchen,Item_D,41088,4,Debit Card,Returned,164352
100040,2023-01-02 15:00:00,9433,North,Beauty,Item_C,18674,4,UPI,Cancelled,74696
100041,2023-01-02 16:00:00,8513,West,Clothing,Item_D,5680,4,UPI,Returned,22720
100042,2023-01-02 17:00:00,3612,North,Books,Item_B,9643,7,Debit Card,In Transit,67501
100043,2023-01-02 18:00:00,8041,West,Beauty,Item_D,39338,5,Net Banking,Cancelled,196690
100044,2023-01-02 19:00:00,7235,East,Beauty,Item_A,33138,2,Net Banking,Returned,66276
100045,2023-01-02 20:00:00,6486,North,Home & Kitchen,Item_A,3009,7,UPI,In Transit,21063
100046,2023-01-02 21:00:00,8099,East,Electronics,Item_E,39961,3,Debit Card,Cancelled,119883
