Date,City,Gold_Purity,Gold_Price_per_10g,Jewellery_Shop,Demand_Level,Festival_Season,Import_Duty_%,USD_INR_Rate
2019-01-01,Chennai,24K,31483,Malabar Gold,Low,No,12.5,82.36
2019-01-02,Chennai,22K,31422,Malabar Gold,Medium,Yes,10.0,82.36
2019-01-03,Hyderabad,22K,31389,Malabar Gold,Low,No,15.0,82.36
2019-01-04,Mumbai,22K,31340,Tanishq,Medium,No,12.5,82.36
2019-01-05,Kolkata,24K,31377,Malabar Gold,Low,No,12.5,82.36
2019-01-06,Mumbai,22K,31384,Kalyan Jewellers,Medium,No,12.5,82.36
2019-01-07,Hyderabad,24K,31380,PC Jeweller,Low,No,12.5,82.36
2019-01-08,Chennai,22K,31402,Malabar Gold,High,Yes,10.0,82.36
2019-01-09,Kolkata,22K,31314,Local Shop,Low,No,15.0,82.36
2019-01-10,Hyderabad,22K,31457,PC Jeweller,Medium,No,15.0,82.36
2019-01-11,Kolkata,22K,31402,Tanishq,Low,No,12.5,82.36
2019-01-12,Chennai,22K,31313,PC Jeweller,Medium,No,12.5,82.36
2019-01-13,Mumbai,22K,31380,Malabar Gold,Medium,No,10.0,82.36
2019-01-14,Kolkata,24K,31363,Tanishq,Medium,Yes,12.5,82.36
2019-01-15,Mumbai,22K,31317,Malabar Gold,Medium,Yes,12.5,82.36
2019-01-16,Delhi,22K,31247,PC Jeweller,Medium,No,15.0,82.36
2019-01-17,Delhi,24K,31329,Tanishq,High,Yes,15.0,82.36
2019-01-18,Delhi,24K,31269,PC Jeweller,Low,No,12.5,82.36
2019-01-19,Mumbai,22K,31277,Kalyan Jewellers,Medium,No,12.5,82.36
2019-01-20,Delhi,22K,31343,Kalyan Jewellers,Low,No,10.0,82.36
2019-01-21,Delhi,22K,31353,Tanishq,High,Yes,15.0,82.36
2019-01-22,Hyderabad,24K,31249,Local Shop,High,Yes,12.5,82.36
2019-01-23,Kolkata,24K,31366,Malabar Gold,Medium,No,10.0,82.36
2019-01-24,Mumbai,22K,31361,Tanishq,High,No,10.0,82.36
2019-01-25,Mumbai,22K,31412,PC Jeweller,Medium,No,12.5,82.36
2019-01-26,Chennai,24K,31330,Tanishq,Low,No,12.5,82.36
2019-01-27,Mumbai,22K,31263,Tanishq,Medium,No,10.0,82.36
2019-01-28,Chennai,22K,31221,Kalyan Jewellers,Medium,Yes,15.0,82.36
2019-01-29,Mumbai,22K,31129,Tanishq,Medium,Yes,12.5,82.36
2019-01-30,Delhi,22K,31254,PC Jeweller,Medium,No,10.0,82.36
2019-01-31,Chennai,24K,31226,Local Shop,Medium,No,12.5,82.36
2019-02-01,Mumbai,24K,31335,PC Jeweller,Low,No,15.0,82.36
2019-02-02,Kolkata,24K,31436,Malabar Gold,Medium,Yes,12.5,82.36
2019-02-03,Delhi,22K,31541,Local Shop,Medium,Yes,12.5,82.36
2019-02-04,Hyderabad,22K,31559,PC Jeweller,Medium,No,10.0,82.36
2019-02-05,Hyderabad,22K,31667,Kalyan Jewellers,High,No,12.5,82.36
2019-02-06,Delhi,22K,31551,Local Shop,Low,No,15.0,82.36
2019-02-07,Hyderabad,22K,31511,Malabar Gold,Low,No,10.0,82.36
2019-02-08,Hyderabad,22K,31508,PC Jeweller,Medium,No,15.0,82.36
2019-02-09,Kolkata,24K,31404,Kalyan Jewellers,Low,Yes,10.0,82.36
2019-02-10,Hyderabad,24K,31284,Malabar Gold,Medium,Yes,10.0,82.36
2019-02-11,Delhi,24K,31347,Tanishq,High,Yes,12.5,82.36
2019-02-12,Hyderabad,24K,31444,Malabar Gold,High,No,15.0,82.36
2019-02-13,Mumbai,22K,31513,PC Jeweller,Low,No,12.5,82.36
2019-02-14,Chennai,24K,31509,Malabar Gold,High,Yes,15.0,82.36
2019-02-15,Mumbai,24K,31406,PC Jeweller,Medium,No,12.5,82.36
2019-02-16,Mumbai,22K,31550,Malabar Gold,Medium,No,10.0,82.36
2019-02-17,Hyderabad,22K,31695,Tanishq,Low,No,12.5,82.36
2019-02-18,Delhi,24K,31683,Kalyan Jewellers,Medium,Yes,12.5,82.36
2019-02-19,Mumbai,22K,31648,PC Jeweller,Low,No,10.0,82.36
2019-02-20,Mumbai,22K,31718,Malabar Gold,High,No,10.0,82.36
2019-02-21,Chennai,24K,31693,PC Jeweller,Low,No,15.0,82.36
2019-02-22,Delhi,22K,31755,Tanishq,Low,No,12.5,82.36
2019-02-23,Chennai,24K,31669,Local Shop,Medium,Yes,15.0,82.36
2019-02-24,Delhi,24K,31744,Malabar Gold,High,Yes,10.0,82.36
2019-02-25,Kolkata,22K,31859,Tanishq,Low,No,12.5,82.36
2019-02-26,Kolkata,24K,31864,Kalyan Jewellers,Medium,Yes,15.0,82.36
2019-02-27,Delhi,24K,31781,Kalyan Jewellers,Low,No,10.0,82.36
2019-02-28,Chennai,22K,31684,PC Jeweller,High,Yes,10.0,82.36
2019-03-01,Kolkata,22K,31608,Kalyan Jewellers,High,No,10.0,82.36
2019-03-02,Hyderabad,24K,31579,Malabar Gold,Low,No,10.0,82.36
2019-03-03,Delhi,24K,31568,Local Shop,Medium,No,12.5,82.36
2019-03-04,Mumbai,22K,31510,PC Jeweller,Low,Yes,12.5,82.36
2019-03-05,Delhi,22K,31413,Tanishq,Low,No,15.0,82.36
2019-03-06,Chennai,22K,31323,PC Jeweller,Low,No,15.0,82.36
2019-03-07,Chennai,22K,31402,Malabar Gold,Medium,Yes,15.0,82.36
2019-03-08,Hyderabad,22K,31545,Local Shop,Low,No,10.0,82.36
2019-03-09,Chennai,24K,31456,Kalyan Jewellers,High,No,10.0,82.36
2019-03-10,Chennai,24K,31435,Malabar Gold,High,No,15.0,82.36
2019-03-11,Mumbai,22K,31335,Local Shop,Low,No,15.0,82.36
2019-03-12,Mumbai,22K,31340,Local Shop,Medium,No,15.0,82.36
2019-03-13,Mumbai,22K,31291,Malabar Gold,Medium,No,12.5,82.36
2019-03-14,Delhi,24K,31220,PC Jeweller,Medium,No,15.0,82.36
2019-03-15,Mumbai,22K,31364,Kalyan Jewellers,Medium,No,10.0,82.36
2019-03-16,Delhi,24K,31425,Malabar Gold,High,No,12.5,82.36
2019-03-17,Hyderabad,22K,31556,Kalyan Jewellers,High,No,15.0,82.36
2019-03-18,Chennai,24K,31600,Malabar Gold,Medium,No,12.5,82.36
2019-03-19,Delhi,22K,31663,Malabar Gold,Medium,No,12.5,82.36
2019-03-20,Kolkata,22K,31563,PC Jeweller,Low,No,12.5,82.36
2019-03-21,Hyderabad,22K,31569,Kalyan Jewellers,Medium,Yes,15.0,82.36
2019-03-22,Delhi,22K,31591,Malabar Gold,Low,No,10.0,82.36
2019-03-23,Hyderabad,22K,31669,Malabar Gold,Medium,No,12.5,82.36
2019-03-24,Chennai,24K,31776,Kalyan Jewellers,Medium,No,15.0,82.36
2019-03-25,Delhi,22K,31842,Kalyan Jewellers,Low,Yes,15.0,82.36
2019-03-26,Chennai,24K,31917,Tanishq,Low,No,12.5,82.36
2019-03-27,Chennai,22K,31939,Local Shop,Low,Yes,15.0,82.36
2019-03-28,Delhi,22K,31923,Kalyan Jewellers,Medium,No,12.5,82.36
2019-03-29,Chennai,24K,31974,Local Shop,High,No,12.5,82.36
2019-03-30,Hyderabad,22K,31946,Kalyan Jewellers,Medium,Yes,10.0,82.36
2019-03-31,Hyderabad,22K,31868,Local Shop,High,Yes,10.0,82.36
2019-04-01,Kolkata,22K,31786,Local Shop,Low,No,15.0,82.36
2019-04-02,Hyderabad,24K,31823,Kalyan Jewellers,High,No,15.0,82.36
2019-04-03,Chennai,22K,31908,Tanishq,Low,Yes,10.0,82.36
2019-04-04,Mumbai,22K,31901,Tanishq,Low,No,10.0,82.36
2019-04-05,Hyderabad,24K,31984,Tanishq,High,No,15.0,82.36
2019-04-06,Chennai,24K,32026,PC Jeweller,High,Yes,10.0,82.36
2019-04-07,Chennai,24K,32165,Local Shop,High,No,12.5,82.36
2019-04-08,Mumbai,22K,32128,Kalyan Jewellers,High,No,12.5,82.36
2019-04-09,Mumbai,24K,32082,Malabar Gold,Medium,Yes,10.0,82.36
2019-04-10,Mumbai,22K,32056,Kalyan Jewellers,High,Yes,12.5,82.36
2019-04-11,Chennai,22K,31950,Malabar Gold,High,Yes,10.0,82.36
2019-04-12,Chennai,22K,32025,Kalyan Jewellers,High,Yes,10.0,82.36
2019-04-13,Hyderabad,22K,31969,Kalyan Jewellers,High,No,12.5,82.36
2019-04-14,Delhi,24K,32093,Local Shop,High,No,10.0,82.36
2019-04-15,Delhi,24K,31975,Kalyan Jewellers,Low,No,10.0,82.36
2019-04-16,Hyderabad,24K,31895,PC Jeweller,High,Yes,15.0,82.36
2019-04-17,Chennai,24K,31839,Local Shop,High,No,10.0,82.36
2019-04-18,Mumbai,22K,31973,Tanishq,Medium,No,12.5,82.36
2019-04-19,Mumbai,24K,32033,Tanishq,Medium,Yes,12.5,82.36
2019-04-20,Chennai,24K,32179,Tanishq,High,No,12.5,82.36
2019-04-21,Hyderabad,22K,32090,PC Jeweller,Low,Yes,15.0,82.36
2019-04-22,Mumbai,22K,32005,Tanishq,Low,Yes,15.0,82.36
2019-04-23,Kolkata,22K,31998,PC Jeweller,High,No,12.5,82.36
2019-04-24,Mumbai,24K,32089,Malabar Gold,Low,No,12.5,82.36
2019-04-25,Hyderabad,22K,32081,Kalyan Jewellers,Medium,No,15.0,82.36
2019-04-26,Delhi,22K,32027,Tanishq,High,No,12.5,82.36
2019-04-27,Hyderabad,24K,32166,Local Shop,Medium,No,15.0,82.36
2019-04-28,Kolkata,22K,32073,PC Jeweller,High,Yes,15.0,82.36
2019-04-29,Kolkata,24K,32173,Kalyan Jewellers,Medium,No,10.0,82.36
