Employee_ID,Department,Job_Role,Experience_Years,Education_Level,Monthly_Salary,Performance_Score,Work_Mode,Overtime_Hours,Attrition_Status
20001,Marketing,Manager,4.5,Master,169755,2.2,Office,36,No
20002,IT,Manager,1.1,Diploma,60462,3.7,Remote,14,No
20003,Sales,Intern,10.3,Master,128379,3.7,Remote,6,No
20004,Sales,Analyst,17.0,Bachelor,35324,1.3,Office,37,No
20005,Marketing,Analyst,6.6,Diploma,105695,3.9,Hybrid,29,No
20006,IT,Intern,10.5,Bachelor,60916,4.1,Hybrid,6,No
20007,HR,Analyst,7.5,Diploma,71425,3.5,Office,28,No
20008,IT,Intern,4.3,Bachelor,141702,2.0,Hybrid,12,Yes
20009,Finance,Analyst,9.7,PhD,98195,3.7,Hybrid,2,No
20010,Finance,Intern,8.5,Bachelor,170846,3.5,Hybrid,24,No
20011,HR,Executive,1.5,Master,169638,1.4,Office,37,No
20012,Marketing,Executive,3.3,PhD,125771,4.4,Hybrid,9,No
20013,HR,Analyst,12.6,Master,133262,1.7,Remote,39,No
20014,Marketing,Manager,7.5,Master,55431,3.8,Remote,32,No
20015,HR,Analyst,18.7,Bachelor,37430,4.3,Office,20,No
20016,Sales,Analyst,10.2,PhD,55494,4.4,Office,13,No
20017,Finance,Manager,1.5,Master,41009,2.4,Hybrid,21,No
20018,Sales,Analyst,10.6,Master,89690,2.4,Remote,1,No
20019,Marketing,Intern,3.7,Master,137294,3.7,Remote,18,No
20020,Marketing,Analyst,14.3,Bachelor,42457,1.1,Remote,3,No
20021,Operations,Executive,13.7,Master,93558,4.1,Remote,0,Yes
20022,HR,Manager,18.7,Diploma,83598,3.5,Office,10,No
20023,HR,Executive,6.5,PhD,74587,4.9,Hybrid,5,No
20024,Operations,Analyst,8.9,PhD,47465,3.5,Remote,27,Yes
20025,HR,Analyst,4.1,Master,67220,2.2,Office,22,No
20026,Sales,Executive,15.6,PhD,42049,1.5,Hybrid,7,No
20027,Operations,Senior Manager,11.6,Diploma,77322,4.6,Remote,25,No
20028,HR,Manager,15.4,Master,48780,4.7,Remote,4,No
20029,Finance,Senior Manager,7.7,Diploma,114704,4.3,Office,10,No
20030,HR,Manager,11.2,Master,81704,3.9,Remote,18,No
20031,IT,Senior Manager,7.5,Diploma,98197,1.0,Remote,12,Yes
20032,Marketing,Manager,6.6,Master,49156,2.0,Remote,29,No
20033,IT,Intern,6.3,Diploma,173998,4.8,Office,25,No
20034,Sales,Intern,13.3,PhD,98283,4.1,Office,0,No
20035,Sales,Executive,6.7,PhD,159280,1.0,Remote,24,No
20036,HR,Manager,19.5,Bachelor,97867,4.0,Hybrid,16,Yes
20037,Sales,Intern,2.8,PhD,47885,5.0,Hybrid,2,No
20038,HR,Executive,14.1,PhD,44128,3.3,Remote,11,No
20039,IT,Analyst,14.7,Master,138315,2.4,Remote,9,Yes
20040,HR,Executive,6.6,PhD,62748,3.0,Office,33,No
20041,HR,Analyst,10.2,Master,119103,3.4,Hybrid,39,No
20042,Operations,Intern,0.8,Bachelor,112230,1.0,Office,16,No
20043,Marketing,Intern,6.4,Master,85502,1.8,Office,6,No
20044,Marketing,Intern,12.2,PhD,88134,3.1,Hybrid,29,No
20045,Marketing,Senior Manager,13.1,Diploma,102250,4.6,Remote,34,No
20046,Finance,Executive,18.1,PhD,126951,1.0,Remote,37,No
20047,IT,Senior Manager,12.4,Master,47822,2.8,Office,30,Yes
20048,Sales,Manager,16.7,Bachelor,92454,2.3,Office,30,No
20049,HR,Intern,19.5,PhD,130980,2.6,Hybrid,15,No
20050,Operations,Manager,16.7,PhD,72414,3.4,Hybrid,15,No
20051,Marketing,Intern,8.9,Master,51292,4.9,Remote,37,No
20052,HR,Intern,12.9,Diploma,78654,3.4,Remote,3,No
20053,Operations,Executive,2.2,PhD,158445,2.5,Hybrid,19,No
20054,Marketing,Executive,10.5,PhD,142398,4.0,Office,5,No
20055,Sales,Manager,9.5,Diploma,145605,4.4,Hybrid,33,No
20056,IT,Executive,7.4,Bachelor,160865,1.5,Remote,19,No
20057,Sales,Executive,7.3,PhD,30675,1.5,Remote,19,Yes
20058,Sales,Executive,2.9,Master,70032,3.0,Hybrid,18,No
20059,Sales,Executive,0.4,Diploma,56752,3.9,Office,5,No
20060,IT,Senior Manager,10.0,Diploma,16371,1.7,Hybrid,18,No
