Date,City,State,Property_Type,Bedrooms,Bathrooms,Area_sqft,Property_Price_USD,Year_Built,Sale_Status
2019-01-01,Houston,TX,Townhouse,3,3,2579,250558,1999,Sold
2019-01-02,New York,FL,Townhouse,1,1,846,250504,2015,Sold
2019-01-03,Houston,CA,Villa,1,4,1781,249767,2008,Sold
2019-01-04,Chicago,TX,Condo,4,2,2568,252222,1989,Available
2019-01-05,New York,NY,Townhouse,4,3,899,251036,1998,Available
2019-01-06,Chicago,CA,Apartment,4,3,1675,251784,2009,Sold
2019-01-07,New York,CA,Condo,1,3,3573,250697,1987,Available
2019-01-08,Los Angeles,TX,Condo,4,3,2321,251145,1986,Sold
2019-01-09,New York,IL,Townhouse,5,2,3330,254021,1993,Sold
2019-01-10,Miami,TX,Townhouse,3,2,3365,255957,2002,Available
2019-01-11,Chicago,FL,Condo,4,4,2520,258686,2007,Sold
2019-01-12,New York,TX,Villa,1,3,1391,258225,1982,Available
2019-01-13,Chicago,FL,Villa,1,3,2068,257223,1983,Available
2019-01-14,Houston,CA,Townhouse,1,3,640,257809,2008,Available
2019-01-15,Los Angeles,FL,Condo,5,4,1933,258260,1992,Available
2019-01-16,New York,CA,Condo,3,1,2731,257663,1997,Sold
2019-01-17,New York,CA,Apartment,1,3,2171,255843,2018,Sold
2019-01-18,Houston,IL,Villa,1,2,854,256634,1996,Sold
2019-01-19,Chicago,FL,Apartment,5,3,3133,257324,1994,Available
2019-01-20,New York,CA,Condo,4,1,3651,256740,1998,Available
2019-01-21,Chicago,CA,Condo,4,4,2366,257335,2011,Sold
2019-01-22,Miami,NY,Villa,1,3,621,255983,1984,Sold
2019-01-23,New York,FL,Villa,2,4,2641,256888,2017,Available
2019-01-24,Miami,TX,Condo,5,1,3734,258854,1997,Available
2019-01-25,Chicago,TX,Apartment,5,1,889,259280,1992,Sold
2019-01-26,Houston,TX,Townhouse,3,1,2868,258126,1983,Sold
2019-01-27,Chicago,FL,Townhouse,3,2,897,259106,1985,Sold
2019-01-28,Chicago,FL,Condo,5,3,3057,257745,2015,Available
2019-01-29,Houston,FL,Apartment,1,3,642,260631,1992,Sold
2019-01-30,Chicago,TX,Condo,5,4,896,259237,1999,Sold
2019-01-31,New York,CA,Apartment,2,2,3138,261919,1991,Available
2019-02-01,Los Angeles,FL,Condo,1,3,2814,260313,1980,Available
2019-02-02,Miami,CA,Villa,1,3,1662,262454,1994,Sold
2019-02-03,Houston,CA,Condo,1,3,2089,263135,2021,Sold
2019-02-04,Los Angeles,NY,Villa,2,2,2613,261496,2022,Sold
2019-02-05,Chicago,NY,Villa,2,3,1165,262953,1997,Sold
2019-02-06,Miami,CA,Apartment,3,4,2268,262199,2007,Sold
2019-02-07,Los Angeles,CA,Townhouse,2,3,1771,264949,2001,Sold
2019-02-08,Los Angeles,FL,Villa,3,1,3171,264359,1998,Available
2019-02-09,New York,NY,Townhouse,1,4,2398,266579,1982,Available
2019-02-10,New York,IL,Villa,5,4,2071,268185,2008,Available
2019-02-11,Chicago,IL,Apartment,4,2,2966,268325,2010,Available
2019-02-12,Los Angeles,FL,Townhouse,2,3,1026,269207,1983,Sold
2019-02-13,Los Angeles,TX,Condo,1,3,1149,269253,1980,Available
2019-02-14,New York,TX,Townhouse,4,4,2762,269926,1996,Available
2019-02-15,New York,IL,Condo,2,4,3494,268280,2014,Sold
2019-02-16,Miami,FL,Townhouse,4,2,3524,267257,2019,Available
2019-02-17,Chicago,FL,Villa,1,1,1011,268033,2022,Sold
2019-02-18,Miami,NY,Villa,4,4,1573,269909,2022,Sold
2019-02-19,Chicago,CA,Condo,5,2,606,271348,1986,Sold
2019-02-20,Chicago,IL,Villa,5,4,1908,273239,1999,Sold
2019-02-21,Houston,CA,Villa,3,4,2119,272819,2019,Sold
2019-02-22,Chicago,NY,Apartment,4,4,3385,275246,1997,Sold
2019-02-23,Los Angeles,NY,Condo,2,4,3790,274278,2000,Sold
2019-02-24,Miami,CA,Condo,2,3,932,274258,2015,Available
2019-02-25,Los Angeles,IL,Apartment,4,1,2086,275944,1986,Sold
2019-02-26,Los Angeles,CA,Townhouse,4,1,3232,278120,2012,Sold
2019-02-27,New York,IL,Condo,1,1,2297,280042,2016,Available
2019-02-28,Chicago,CA,Townhouse,4,3,547,282446,1988,Available
2019-03-01,Chicago,NY,Apartment,3,1,3589,281440,2004,Sold
2019-03-02,Los Angeles,TX,Villa,3,1,2648,279598,2002,Sold
2019-03-03,Los Angeles,NY,Apartment,3,1,3709,280154,1988,Available
2019-03-04,Chicago,NY,Villa,4,3,2634,281001,2004,Available
2019-03-05,Chicago,CA,Condo,2,3,3122,280698,1981,Available
2019-03-06,Los Angeles,CA,Villa,3,1,3115,279075,2016,Available
2019-03-07,Chicago,FL,Villa,2,1,731,280335,2019,Sold
2019-03-08,New York,FL,Condo,2,1,2657,278427,2011,Available
