"Date","Company","Open","High","Low","Close","Volume","Market_Sentiment","News_Impact"
"2015-01-01","Apple",119.48,122.77,118.59,120.21,4405490,"Negative","Low"
"2015-01-02","Tesla",116.84,120.4,114.7,118.6,2750012,"Positive","Medium"
"2015-01-03","Apple",119.42,121.96,117.48,121.11,1849900,"Neutral","High"
"2015-01-04","Amazon",123.88,125.75,121.84,122.52,2363126,"Positive","Medium"
"2015-01-05","Amazon",125.94,128.3,121.82,123.91,722779,"Neutral","Medium"
"2015-01-06","Tesla",121.9,124.32,118.74,120.08,4732024,"Neutral","Medium"
"2015-01-07","Amazon",122.75,123.47,118.55,120.2,1278751,"Neutral","High"
"2015-01-08","Tesla",117.94,120.12,116.65,117.62,1165381,"Negative","Medium"
"2015-01-09","Apple",119.28,124.55,116.83,121.79,4253643,"Neutral","Low"
"2015-01-10","Google",124.77,127.22,123.33,124.8,976874,"Neutral","High"
"2015-01-11","Google",121.33,123.19,120.24,121.19,4827987,"Neutral","High"
"2015-01-12","Amazon",121.13,123.54,120.6,121.91,1870974,"Neutral","Medium"
"2015-01-13","Tesla",122.63,125.11,118.12,119.31,3193639,"Neutral","Medium"
"2015-01-14","Tesla",125.42,125.87,123.54,124.95,4528529,"Positive","Low"
"2015-01-15","Google",124.86,126.65,121.57,124.44,1060208,"Negative","Low"
"2015-01-16","Apple",126.27,127.04,123.78,125.25,4802583,"Positive","Medium"
"2015-01-17","Amazon",129.76,131.53,127.7,129.29,3143176,"Positive","High"
"2015-01-18","Microsoft",131.36,135.23,129.56,132.44,2207274,"Positive","Low"
"2015-01-19","Tesla",131.94,132.57,129.07,131.47,2704736,"Neutral","Medium"
"2015-01-20","Apple",129.23,132.15,126.1,128.83,3390267,"Positive","Low"
"2015-01-21","Tesla",127.46,131.11,125.57,130.83,2891404,"Neutral","Medium"
"2015-01-22","Tesla",127.36,131.39,126.24,128.61,4955903,"Neutral","Low"
"2015-01-23","Apple",129.6,132.41,128.23,130.5,4744143,"Neutral","Low"
"2015-01-24","Apple",128.41,131.07,127.05,129.64,661384,"Positive","Low"
"2015-01-25","Tesla",126.79,129.76,123.76,126.51,1938380,"Negative","High"
"2015-01-26","Microsoft",125.72,128.7,121,122.35,1283753,"Neutral","Medium"
"2015-01-27","Amazon",121.67,124.17,119.17,123.49,1522931,"Positive","High"
"2015-01-28","Google",127.2,129.24,124.09,127.02,4242435,"Positive","High"
"2015-01-29","Tesla",129.01,130.86,127.88,129.02,530313,"Positive","Medium"
"2015-01-30","Tesla",130.56,133.26,127.86,127.93,821057,"Positive","Low"
"2015-01-31","Microsoft",132.68,134.88,126.58,129.03,1164805,"Neutral","Low"
"2015-02-01","Microsoft",129.29,131.02,126.66,129.77,4951144,"Positive","Medium"
"2015-02-02","Amazon",130.13,132.98,129.46,130.33,1288279,"Neutral","Medium"
"2015-02-03","Amazon",133.61,136.41,131.68,133.63,816917,"Negative","Medium"
"2015-02-04","Apple",136.39,138.28,132.52,134.11,1468340,"Neutral","Low"
"2015-02-05","Apple",137.25,138.59,134.54,134.54,4693493,"Positive","Medium"
"2015-02-06","Tesla",136.26,136.62,133.35,135.19,1401988,"Neutral","Medium"
"2015-02-07","Tesla",137.87,140.42,135.43,137.04,4154136,"Neutral","Medium"
"2015-02-08","Apple",143.65,145.52,142.37,144.36,521208,"Positive","Medium"
"2015-02-09","Microsoft",145.88,147.32,144.69,147.28,1277492,"Positive","High"
"2015-02-10","Microsoft",141.69,144.11,140.04,143.98,1916944,"Neutral","Medium"
"2015-02-11","Microsoft",139.51,142.87,136.62,141.86,4206488,"Positive","High"
"2015-02-12","Microsoft",144.67,146.24,142.35,143.43,2041758,"Positive","Medium"
"2015-02-13","Amazon",141.2,144.27,138.45,143.21,651856,"Neutral","High"
"2015-02-14","Tesla",145.42,146.43,143.07,145.61,2784271,"Neutral","Medium"
"2015-02-15","Google",151.2,151.44,149.7,149.73,4381166,"Negative","Medium"
"2015-02-16","Google",149.87,152.07,147.91,151.08,1142400,"Negative","Low"
"2015-02-17","Apple",151.1,153.86,147.23,148.83,4021753,"Positive","Medium"
