trip_id,driver_id,city,trip_distance_km,trip_duration_min,fare_amount_usd,surge_multiplier,payment_method,driver_rating,rider_rating,cancelled,trip_hour,weekend_trip
1,6327,Dubai,19.27,52,81.65,2.5,UPI,4.23,4.52,0,11,0
2,6944,New York,32.41,41,108.69,1.2,UPI,4.27,3.99,0,3,0
3,9964,Dubai,3.15,21,50.56,1.5,UPI,3.61,3.69,0,11,0
4,1048,London,35.58,94,97.91,1.2,Wallet,3.59,4.97,0,18,0
5,7844,New York,37.01,101,79.59,1.0,Wallet,4.5,3.42,0,11,0
6,1840,London,26.2,114,35.48,1.2,UPI,4.36,4.31,0,20,1
7,2646,Singapore,21.25,73,19.34,1.0,Credit Card,4.41,3.39,0,10,0
8,9639,Mumbai,12.4,20,104.35,2.0,Cash,4.13,3.94,0,2,1
9,6548,Mumbai,5.36,82,88.67,1.2,Wallet,3.75,3.73,0,4,1
10,1829,Dubai,31.68,45,92.29,2.5,Wallet,4.18,3.17,0,17,0
11,9425,Dubai,13.64,52,75.1,1.0,Wallet,4.71,3.54,0,12,0
12,3352,Mumbai,23.56,14,51.28,1.0,Wallet,4.53,3.56,0,20,0
13,4310,London,20.27,15,57.95,1.2,Cash,4.12,3.9,0,23,0
14,6094,Singapore,18.1,33,88.59,1.2,UPI,4.52,4.64,0,20,1
15,7804,Singapore,30.0,7,67.7,2.0,Wallet,4.51,3.24,0,10,1
16,8884,Sydney,40.82,24,101.99,2.0,Wallet,3.79,4.08,0,3,0
17,9873,Dubai,22.28,78,78.22,2.5,Wallet,4.01,3.48,0,14,1
18,9678,Mumbai,43.11,9,8.73,1.2,Credit Card,4.94,3.07,0,13,0
19,1952,Sydney,34.67,109,56.07,2.0,Wallet,4.95,4.96,0,22,1
20,2772,New York,2.6,74,21.0,2.5,UPI,4.03,3.98,0,22,0
21,3530,Dubai,22.7,65,31.23,1.5,Credit Card,4.58,4.63,0,14,0
22,8477,London,22.52,54,63.24,2.0,Cash,3.59,3.72,1,12,0
23,2797,Singapore,43.86,106,44.32,2.5,UPI,3.78,3.09,1,23,1
24,9186,Sydney,17.19,79,113.73,2.0,UPI,3.78,4.45,0,1,0
25,8459,Sydney,41.58,80,88.72,2.0,Cash,4.32,3.94,0,14,0
26,9972,Dubai,30.58,87,22.19,1.5,Wallet,4.85,4.84,0,2,0
27,3288,London,1.81,20,58.66,1.5,UPI,4.18,3.64,0,2,0
28,6970,Sydney,41.6,64,44.28,1.5,Credit Card,4.61,4.23,0,0,1
29,7415,London,42.56,115,101.69,1.0,Cash,4.67,3.75,0,6,0
30,4974,London,13.07,86,44.15,1.2,Credit Card,4.31,4.72,0,15,0
31,1464,London,1.36,26,10.63,2.0,Wallet,3.84,4.2,0,14,0
32,8021,Sydney,10.42,68,29.18,1.5,UPI,4.73,3.82,0,5,0
33,6445,London,25.82,11,101.36,2.0,UPI,4.59,4.75,0,19,0
34,8798,Dubai,28.49,94,93.19,1.2,Cash,3.79,3.69,0,3,0
35,5484,New York,4.09,94,61.35,2.0,Cash,4.07,3.31,0,9,1
36,6406,Mumbai,35.68,68,89.77,2.5,Wallet,4.35,4.91,0,8,0
37,4870,Singapore,9.42,105,82.69,1.5,Wallet,4.05,3.86,0,0,0
38,8116,Sydney,11.46,90,94.61,1.2,UPI,4.61,3.33,0,8,0
39,3969,Mumbai,17.29,80,13.68,2.0,Cash,4.5,3.19,0,10,0
40,2440,Dubai,14.55,116,65.95,1.5,Wallet,3.51,4.5,0,20,0
41,3810,New York,19.03,40,9.47,2.0,Wallet,4.54,3.04,0,21,0
42,2136,Mumbai,27.04,23,28.33,1.2,UPI,4.08,4.75,0,8,0
43,5505,Dubai,43.2,84,90.16,1.0,UPI,4.91,3.53,0,3,1
44,4279,Mumbai,30.31,13,108.81,2.5,Credit Card,3.89,4.8,0,2,0
45,9702,Sydney,24.04,11,38.31,1.0,Credit Card,4.94,3.8,0,19,0
46,4394,Sydney,3.41,77,86.29,1.2,Credit Card,4.3,4.98,0,3,1
47,1121,New York,27.16,59,94.31,1.5,UPI,4.01,4.9,0,7,0
48,1008,London,19.63,16,35.85,1.2,Credit Card,3.5,3.42,0,8,0
49,8602,Dubai,34.25,58,8.57,1.0,Cash,4.81,3.34,0,22,1
50,3663,New York,4.39,56,94.49,2.5,Cash,4.38,4.11,0,3,0
51,9984,Sydney,29.04,17,111.04,1.5,Cash,3.6,4.37,0,11,0
52,2305,Sydney,19.66,104,69.17,1.2,Credit Card,4.4,3.15,0,7,0
53,3686,New York,38.53,55,88.39,1.2,UPI,4.1,4.37,0,22,0
54,1619,Dubai,43.24,82,12.04,2.5,Cash,4.72,3.53,0,6,0
55,8321,Mumbai,15.15,59,53.0,1.0,Credit Card,3.91,3.84,0,10,1
56,8374,Mumbai,9.81,49,114.32,1.5,UPI,5.0,4.68,0,13,0
57,4375,Singapore,28.66,52,112.63,1.2,UPI,3.73,4.09,0,15,1
58,3983,Sydney,31.99,63,29.35,1.0,Credit Card,3.96,4.54,0,21,1
59,5101,Mumbai,40.1,19,107.16,1.0,UPI,3.88,4.03,0,4,0
60,4755,London,26.58,24,45.13,1.0,Credit Card,4.03,3.79,0,14,0
61,8698,Mumbai,42.45,115,51.33,1.5,UPI,3.5,4.95,0,1,1
62,1644,Dubai,26.51,21,15.54,2.5,Credit Card,3.93,4.21,0,16,1
63,9032,Mumbai,25.89,13,22.52,1.5,Credit Card,3.5,3.85,0,5,1
64,8824,Sydney,34.09,30,11.57,1.5,Credit Card,4.18,3.35,0,3,0
65,2251,Singapore,17.77,61,59.96,2.0,Credit Card,4.84,3.9,0,7,0
66,3355,New York,9.01,34,101.2,1.0,Credit Card,4.53,3.13,0,21,0
67,6281,Singapore,20.48,55,44.15,1.5,UPI,4.88,3.65,0,8,0
68,1758,London,41.05,17,17.04,1.0,Wallet,4.13,3.49,0,10,1
69,5895,Sydney,39.61,102,22.64,1.5,Credit Card,4.62,4.98,0,19,0
70,3390,Singapore,28.1,54,66.52,1.0,UPI,3.88,3.79,0,20,0
71,8901,New York,36.74,112,63.33,1.2,Wallet,4.31,3.86,0,23,0
72,3558,Sydney,3.22,71,71.44,1.2,Credit Card,4.58,4.95,0,9,0
73,1067,Sydney,9.94,114,84.12,2.5,Wallet,4.52,4.11,0,18,0
74,1577,New York,30.56,94,114.57,1.0,Credit Card,4.58,4.59,0,21,0
75,7351,Singapore,36.98,12,40.65,1.0,Wallet,4.03,4.47,0,19,1
76,9241,Mumbai,25.49,118,14.53,1.5,Cash,4.03,3.68,0,8,0
77,2229,Dubai,10.15,47,44.76,1.0,Cash,4.44,3.7,0,8,0
78,5342,Sydney,2.92,29,9.28,1.2,Cash,4.62,4.56,0,15,1
79,5853,Dubai,39.17,30,90.76,1.5,Credit Card,4.59,4.64,0,9,0
80,1741,New York,28.85,87,114.05,2.5,Cash,4.73,3.83,0,13,1
81,9662,Sydney,9.94,78,80.65,2.0,Cash,4.2,3.86,0,20,0
82,4153,London,23.56,29,47.14,2.5,Cash,5.0,3.85,0,9,0
83,2993,Singapore,30.9,95,29.68,1.2,Credit Card,3.56,3.85,0,22,0
84,2309,London,2.45,57,49.67,1.2,Wallet,4.5,4.65,0,23,0
85,9299,Mumbai,31.74,5,19.76,1.5,Credit Card,4.14,4.85,0,7,0
86,3545,Singapore,29.46,55,91.27,1.2,Cash,4.97,3.45,1,2,0
87,7750,Dubai,2.89,14,95.85,1.5,UPI,3.53,3.77,0,1,0
88,6158,New York,39.99,20,66.6,2.5,Wallet,4.85,3.8,0,14,1
89,2966,Dubai,10.22,18,79.96,1.2,Wallet,4.07,3.94,0,22,1
90,2372,London,22.88,22,69.7,1.5,Wallet,4.04,3.27,0,8,0
91,1408,Mumbai,17.3,17,61.88,1.0,Credit Card,4.53,4.43,1,16,0
92,3753,Sydney,7.9,67,73.44,2.0,UPI,4.01,3.39,0,16,1
93,7913,Sydney,32.6,84,6.91,2.0,Cash,3.95,3.06,1,13,1
94,8248,New York,26.12,52,20.5,1.2,Cash,3.84,3.26,0,12,0
95,6611,London,20.21,111,103.85,1.5,Credit Card,3.87,4.25,0,3,1
96,8357,Dubai,12.42,111,37.84,2.5,UPI,4.59,4.2,0,10,0
97,4309,Dubai,40.86,66,76.42,2.5,Cash,4.52,3.58,0,2,0
98,2817,Sydney,20.39,82,107.23,1.0,Wallet,4.05,3.75,0,4,0
99,6240,Dubai,10.5,115,14.33,1.2,Wallet,4.87,4.39,0,23,0
100,7563,Sydney,42.99,115,91.01,2.0,UPI,4.45,3.8,0,21,0
101,7473,New York,38.09,34,70.47,2.5,Cash,4.71,4.8,0,7,1
102,8708,Dubai,11.63,24,73.89,1.2,Cash,3.85,4.65,0,3,0
103,1144,Singapore,10.13,107,89.02,1.5,UPI,3.75,4.64,0,12,0
104,4113,New York,6.64,60,37.28,2.0,Cash,4.41,4.67,0,21,1
105,2024,Sydney,24.03,92,96.05,2.5,Credit Card,4.59,3.5,0,2,0
106,6304,Sydney,37.27,60,91.18,1.0,Cash,3.61,4.79,0,6,1
107,7814,New York,10.58,59,116.14,2.0,Cash,4.54,4.33,0,2,0
108,4022,New York,23.21,91,60.88,1.0,UPI,3.76,3.68,0,6,0
109,2025,Mumbai,35.82,77,62.28,1.5,Cash,3.83,4.14,0,17,0
110,3753,London,39.25,109,101.58,1.2,UPI,4.8,3.23,0,18,0
111,2060,Sydney,35.09,98,13.35,2.0,UPI,3.51,4.68,0,21,1
112,1630,New York,1.88,64,53.37,1.2,UPI,4.32,3.52,0,1,0
113,3936,Sydney,19.82,25,101.95,1.5,Wallet,4.55,3.53,0,7,0
114,3307,Dubai,6.53,41,10.67,1.5,Cash,4.8,3.61,0,15,0
115,3720,Sydney,8.75,54,98.55,1.5,Cash,4.96,4.79,0,3,1
116,2118,London,8.22,6,5.72,2.5,Wallet,4.21,3.25,0,18,1
117,6996,Sydney,37.48,43,38.2,1.0,Cash,3.77,3.54,0,12,0
118,5573,Dubai,2.86,13,29.26,2.0,Credit Card,4.91,4.86,0,0,0
119,4223,Dubai,11.2,59,29.43,1.5,UPI,4.24,4.29,0,15,0
120,1935,Dubai,6.36,116,106.06,1.2,Credit Card,4.31,4.64,0,10,0
121,1869,New York,35.29,81,70.37,2.5,Cash,3.94,4.88,0,9,0
122,2772,Mumbai,22.41,9,43.62,2.0,UPI,3.62,3.19,0,14,0
123,6411,Sydney,33.74,80,69.47,2.5,UPI,4.14,3.25,0,15,0
124,3258,Singapore,20.81,87,36.6,2.0,Credit Card,4.25,4.26,0,23,0
125,8258,New York,25.04,83,57.24,1.0,Credit Card,3.59,4.35,0,19,0
126,8967,Singapore,22.05,65,98.47,1.0,Wallet,4.9,4.03,0,14,0
127,6071,New York,26.07,52,40.61,1.2,Wallet,4.14,4.6,0,23,0
128,8897,London,32.93,80,98.14,1.2,Credit Card,3.97,4.43,0,8,0
129,5982,Singapore,1.61,113,58.12,2.0,Wallet,4.6,3.91,0,14,1
130,3790,Dubai,41.34,6,101.96,2.5,Wallet,4.65,4.8,0,16,1
131,2667,Dubai,32.51,36,109.53,1.5,Credit Card,4.6,4.48,0,18,0
132,6989,New York,27.67,36,70.07,1.2,Wallet,4.27,3.4,0,3,1
133,7966,London,5.08,54,5.77,2.0,Cash,4.64,3.85,1,8,0
134,9394,Mumbai,4.83,117,107.09,2.0,Wallet,3.65,3.96,0,4,0
135,1238,New York,35.55,46,116.4,2.0,Credit Card,4.04,3.81,1,0,0
136,8146,Dubai,25.38,108,44.29,1.0,UPI,3.64,3.5,0,20,1
137,7449,London,17.78,20,85.8,1.0,Credit Card,4.25,3.01,0,17,0
138,8427,Singapore,20.87,33,55.61,2.5,Wallet,4.16,4.8,0,10,0
139,6003,London,42.13,9,118.92,2.5,Cash,3.53,3.12,0,13,0
140,1483,Sydney,39.42,113,85.59,1.0,Cash,4.33,4.72,1,15,0
141,3402,Dubai,28.95,115,77.27,1.2,Wallet,3.6,4.63,0,11,1
142,3298,New York,11.26,59,5.36,2.5,Wallet,3.86,4.45,0,0,0
143,8365,Singapore,24.96,51,82.64,2.5,Credit Card,4.74,3.28,0,22,0
144,5708,Mumbai,27.41,47,77.5,1.2,Cash,3.8,4.32,0,11,1
145,1299,Sydney,25.63,50,117.46,1.5,UPI,3.71,4.22,0,12,1
146,2744,London,12.08,50,24.37,2.5,Wallet,3.73,3.33,0,16,0
147,7637,Singapore,1.95,16,59.63,1.5,Cash,4.01,3.98,0,19,0
148,7925,Mumbai,28.44,10,88.59,2.5,Credit Card,4.17,4.84,0,3,0
149,1591,Singapore,12.34,68,70.5,1.5,Cash,4.53,4.77,0,20,0
150,6527,New York,21.81,8,51.67,1.5,UPI,4.54,4.46,0,9,0
151,5610,New York,3.94,103,103.33,1.0,Credit Card,3.64,3.47,0,7,0
152,7940,Singapore,27.59,97,39.4,1.2,Cash,4.27,4.66,0,11,0
153,2619,Dubai,43.88,107,83.68,1.0,Wallet,4.94,3.33,0,13,1
154,5050,Singapore,26.24,117,96.15,1.2,Wallet,4.67,4.39,0,17,0
155,7999,Mumbai,13.91,101,110.94,1.2,Credit Card,4.59,4.37,0,20,0
156,1474,London,17.1,33,119.73,1.0,Wallet,3.99,3.43,0,21,0
157,2915,Dubai,34.27,6,35.71,2.5,UPI,3.95,4.57,0,9,0
158,2513,Singapore,25.48,115,101.31,1.2,Credit Card,4.02,3.75,0,0,1
159,8818,Singapore,36.3,64,116.37,1.2,UPI,4.0,3.69,0,20,0
160,4687,London,19.54,15,46.26,1.2,Cash,4.74,4.74,0,20,0
161,9735,Mumbai,43.86,95,93.08,1.2,UPI,4.66,4.5,0,18,0
162,1372,Sydney,28.37,90,67.52,1.0,Wallet,4.75,3.4,0,0,1
163,3198,Mumbai,26.26,18,114.65,2.5,UPI,4.4,4.39,0,7,1
164,7336,Dubai,10.52,71,6.22,2.0,Cash,4.41,3.46,0,1,0
165,9209,Singapore,19.84,104,7.86,1.0,UPI,3.66,3.27,0,0,0
166,8425,New York,31.3,115,103.93,2.5,Cash,4.86,3.76,0,11,0
167,2045,New York,37.28,7,114.86,2.5,Credit Card,4.91,3.27,0,4,0
168,7730,New York,1.07,93,13.52,1.0,UPI,4.84,3.99,0,2,0
169,5457,Sydney,15.28,65,105.86,1.2,UPI,3.56,3.75,0,4,1
170,5557,New York,13.52,56,35.64,1.2,Credit Card,4.11,4.23,0,17,1
171,6843,New York,37.0,102,93.96,2.0,UPI,3.73,4.8,0,14,1
172,2004,London,5.34,13,36.74,1.5,Wallet,3.52,4.59,0,6,1
173,4701,Dubai,37.62,7,33.57,1.0,Wallet,4.86,4.36,0,12,1
174,3539,New York,31.86,100,83.54,1.2,Wallet,4.35,3.36,0,8,1
175,5473,Sydney,11.95,52,49.78,2.5,UPI,4.7,3.67,0,17,0
176,2475,Mumbai,12.25,86,94.8,1.0,Wallet,3.8,4.94,0,22,0
177,7089,London,21.69,21,65.19,2.5,Cash,4.15,3.76,0,8,1
178,4134,Mumbai,13.99,6,110.84,2.0,UPI,3.8,4.79,0,8,0
179,1613,London,35.52,51,73.28,2.5,Cash,3.78,3.06,0,16,1
180,8041,London,44.21,80,55.2,2.5,Credit Card,4.18,3.39,0,16,0
181,1203,New York,31.36,111,48.2,2.5,Wallet,4.65,4.45,0,13,1
182,2867,London,15.37,104,9.39,1.2,Credit Card,4.3,4.38,0,15,0
183,5207,New York,28.94,5,30.97,2.5,UPI,4.65,3.24,0,9,1
184,6750,New York,11.6,105,10.75,1.0,Credit Card,3.96,3.24,0,11,0
185,7054,Dubai,36.57,40,106.99,2.5,Wallet,4.17,4.43,0,9,1
186,1226,Singapore,12.88,31,105.89,1.2,Wallet,4.77,3.71,0,22,0
187,9581,Sydney,41.81,105,76.01,1.0,UPI,3.64,4.56,0,13,1
188,8297,London,6.75,45,84.98,2.0,Credit Card,4.9,4.14,0,18,0
189,3744,New York,42.99,65,92.66,1.0,UPI,4.44,3.46,0,5,0
190,1327,London,34.73,67,110.02,2.5,Credit Card,4.14,4.53,1,13,0
191,7093,Mumbai,19.09,50,26.99,2.5,Credit Card,4.48,4.84,0,15,1
192,5316,London,43.49,114,60.27,2.5,Cash,4.26,3.43,0,13,1
193,6123,Mumbai,28.0,72,90.93,1.5,UPI,3.81,4.34,0,2,1
194,7122,London,40.61,8,47.33,1.5,Wallet,4.92,3.7,1,16,0
195,9632,London,29.29,25,106.26,2.0,Cash,3.94,4.32,0,17,0
196,8080,New York,33.6,22,39.22,1.2,Credit Card,4.76,4.03,0,17,0
197,5047,New York,39.62,118,14.28,2.0,Cash,4.06,4.28,0,6,0
198,7897,Singapore,21.23,20,46.45,1.5,Wallet,3.53,4.3,0,23,0
199,7780,Sydney,42.88,116,37.21,2.5,Wallet,4.12,3.11,0,12,0
200,2852,London,37.68,70,118.01,2.0,Cash,3.52,4.17,0,11,1
201,3947,New York,11.2,89,110.8,2.0,Credit Card,3.51,4.74,0,3,1
