Ride_ID,Driver_ID,Rider_ID,City,Ride_Type,Distance_km,Ride_Duration_Min,Fare_Amount,Payment_Mode,Ride_Status
900001,39313,81977,Mumbai,Auto,38.09,75,1635,Credit Card,Completed
900002,33587,63275,Mumbai,Auto,15.06,75,129,UPI,Completed
900003,56265,52605,Bengaluru,Sedan,12.44,50,2235,Credit Card,Completed
900004,46008,77263,Hyderabad,Sedan,37.07,101,1537,Credit Card,Completed
900005,67042,93171,Bengaluru,Sedan,15.82,88,2429,UPI,Completed
900006,97108,58815,Delhi,SUV,6.33,106,1359,Credit Card,Completed
900007,33749,51120,Mumbai,Mini,13.37,76,869,Credit Card,Completed
900008,73412,53592,Mumbai,Sedan,30.79,97,1371,Cash,Completed
900009,29841,92761,Mumbai,SUV,2.69,38,2259,Debit Card,Completed
900010,74766,87292,Chennai,Mini,27.81,75,1649,Credit Card,Completed
900011,26439,87561,Hyderabad,Mini,43.1,31,1905,Debit Card,Completed
900012,22273,71396,Mumbai,Sedan,23.44,17,2386,Credit Card,Completed
900013,83904,64208,Pune,Sedan,18.42,54,441,Credit Card,Completed
900014,97261,89110,Chennai,Sedan,8.87,5,1821,Debit Card,Completed
900015,59211,99403,Delhi,Mini,49.87,73,2451,Credit Card,Completed
900016,85750,67187,Bengaluru,SUV,28.07,35,1839,Credit Card,Completed
900017,18436,93306,Delhi,SUV,18.09,48,542,Credit Card,Completed
900018,39911,53631,Bengaluru,Mini,35.59,63,149,Credit Card,Completed
900019,39324,92453,Pune,Mini,20.38,69,1821,UPI,Completed
900020,56504,66708,Pune,Sedan,38.87,84,853,UPI,Completed
900021,92964,81175,Chennai,Sedan,48.05,81,484,Cash,Completed
900022,41225,68021,Pune,Auto,29.92,42,1324,Cash,Completed
900023,23371,95633,Chennai,SUV,44.5,88,2260,Debit Card,Cancelled
900024,88631,77434,Hyderabad,Mini,2.81,36,1094,Credit Card,Completed
900025,59743,80449,Mumbai,Auto,45.82,69,1888,UPI,Cancelled
900026,12810,96396,Mumbai,Mini,14.58,28,83,Cash,Completed
