Student_ID,University,Course,Specialization,Year_of_Study,Gender,Attendance_Percentage,Internal_Marks,External_Marks,CGPA,Placement_Status
1000001,Pune University,MBA,Civil,4,Female,75.77,26,34,4.05,Not Placed
1000002,Anna University,BBA,Mechanical,2,Female,96.93,10,69,9.38,Placed
1000003,Pune University,B.Com,Finance,3,Female,76.63,29,44,5.22,Not Placed
1000004,Mumbai University,BBA,Data Science,4,Female,87.62,12,26,5.8,Placed
1000005,Mumbai University,MCA,Finance,2,Male,71.18,28,27,9.53,Placed
1000006,JNTU Hyderabad,MCA,Mechanical,1,Male,68.07,14,22,7.08,Placed
1000007,Anna University,MBA,Marketing,3,Male,63.44,11,62,4.7,Placed
1000008,Pune University,MCA,Marketing,3,Female,64.16,23,29,8.64,Not Placed
1000009,JNTU Hyderabad,MCA,Computer Science,4,Female,89.94,13,32,9.68,Placed
1000010,Mumbai University,B.Com,Computer Science,3,Male,65.27,22,45,6.59,Placed
1000011,Delhi University,BBA,Civil,4,Female,94.24,20,22,7.62,Not Placed
1000012,JNTU Hyderabad,BBA,Computer Science,4,Male,87.02,27,40,7.09,Not Placed
1000013,JNTU Hyderabad,B.Sc,Finance,1,Female,62.3,17,37,6.13,Placed
1000014,JNTU Hyderabad,MCA,Mechanical,3,Female,99.45,24,24,9.15,Placed
1000015,JNTU Hyderabad,B.Sc,Marketing,1,Female,67.34,21,50,4.84,Placed
1000016,Anna University,B.Tech,Data Science,1,Male,90.26,28,40,8.71,Placed
1000017,JNTU Hyderabad,B.Com,Civil,4,Female,92.9,19,50,5.4,Placed
1000018,Anna University,MBA,Mechanical,2,Female,78.35,23,42,7.84,Placed
1000019,Anna University,BBA,Finance,4,Male,82.19,24,59,7.35,Placed
1000020,Anna University,B.Com,Finance,4,Male,78.11,23,61,5.41,Placed
1000021,Pune University,B.Com,Civil,3,Male,92.06,20,66,4.97,Placed
1000022,Mumbai University,MCA,Data Science,3,Female,96.31,17,58,6.72,Placed
1000023,Anna University,MBA,Civil,1,Female,68.69,21,56,5.4,Not Placed
1000024,Anna University,B.Tech,Marketing,2,Male,75.33,12,44,5.28,Placed
1000025,Pune University,MBA,Marketing,3,Male,80.92,18,56,7.32,Not Placed
1000026,JNTU Hyderabad,B.Tech,Civil,3,Female,98.62,17,64,9.9,Placed
1000027,Delhi University,MBA,Mechanical,3,Female,74.09,23,48,5.67,Placed
1000028,Pune University,MBA,Data Science,1,Male,59.37,11,67,8.17,Placed
1000029,Anna University,MBA,Data Science,2,Female,90.79,11,49,9.43,Placed
1000030,Anna University,B.Sc,Mechanical,2,Male,99.47,17,34,5.41,Not Placed
1000031,JNTU Hyderabad,MBA,Computer Science,4,Male,83.63,12,21,5.79,Not Placed
1000032,Mumbai University,B.Tech,Marketing,3,Male,90.13,14,50,8.46,Placed
1000033,JNTU Hyderabad,B.Sc,Mechanical,2,Male,72.82,18,55,4.96,Placed
1000034,Anna University,B.Sc,Civil,3,Male,98.68,15,21,8.99,Placed
1000035,Anna University,BBA,Marketing,1,Male,92.08,18,56,4.46,Placed
1000036,Mumbai University,B.Tech,Civil,4,Male,94.0,26,65,6.21,Placed
1000037,Mumbai University,MCA,Finance,3,Male,67.76,29,36,6.44,Placed
1000038,Anna University,MBA,Marketing,3,Female,60.19,22,34,8.3,Placed
1000039,Delhi University,MCA,Data Science,3,Female,74.37,26,39,6.59,Not Placed
1000040,Pune University,B.Sc,Computer Science,3,Male,93.36,17,32,4.8,Placed
1000041,JNTU Hyderabad,BBA,Finance,2,Male,89.78,11,54,5.02,Not Placed
1000042,JNTU Hyderabad,MCA,Mechanical,3,Female,75.65,24,36,9.67,Placed
1000043,Anna University,BBA,Marketing,4,Female,97.84,17,25,7.14,Placed
1000044,Delhi University,B.Com,Marketing,3,Male,92.06,26,21,6.15,Not Placed
1000045,Anna University,BBA,Marketing,2,Male,80.14,26,52,9.0,Placed
1000046,Delhi University,MCA,Marketing,2,Male,62.36,10,54,7.16,Not Placed
