Date,City,State,Avg_Temperature_C,Rainfall_mm,Humidity_%,Wind_Speed_kmph,Weather_Type,Pressure_hPa
2018-01-01,New York,IL,18.5,0.54,68,12.3,Cloudy,1014
2018-01-02,Chicago,IL,18.1,8.75,52,2.9,Cloudy,1029
2018-01-03,Houston,CA,21.8,0.82,34,4.6,Rainy,995
2018-01-04,Chicago,AZ,23.7,4.39,49,22.3,Sunny,1007
2018-01-05,Chicago,IL,18.8,0.72,42,8.7,Cloudy,1010
2018-01-06,Houston,AZ,18.8,3.93,77,7.8,Sunny,1032
2018-01-07,Chicago,CA,17.4,2.09,47,10.1,Snow,1000
2018-01-08,Houston,CA,12.5,0.75,47,2.1,Cloudy,998
2018-01-09,Houston,TX,21.5,8.05,78,16.9,Storm,1019
2018-01-10,New York,CA,10.7,7.61,70,5.4,Sunny,1031
2018-01-11,Houston,IL,16.4,3.41,69,10.8,Cloudy,1012
2018-01-12,Phoenix,IL,10.6,2.56,43,6.5,Rainy,1003
2018-01-13,Phoenix,NY,10.2,4.08,33,2.5,Sunny,1007
2018-01-14,Houston,IL,13.4,0.62,43,24.0,Sunny,994
2018-01-15,New York,NY,10.2,6.43,33,4.9,Cloudy,983
2018-01-16,New York,CA,15.1,0.18,73,1.0,Cloudy,1012
2018-01-17,New York,IL,18.4,0.83,37,1.0,Sunny,984
2018-01-18,Houston,AZ,20.2,3.91,31,15.0,Cloudy,1012
2018-01-19,Houston,IL,7.6,4.19,77,22.5,Sunny,1030
2018-01-20,Houston,CA,10.3,2.17,93,2.7,Rainy,1016
2018-01-21,New York,IL,12.0,2.23,81,18.6,Sunny,1004
2018-01-22,New York,NY,9.8,0.47,44,21.1,Cloudy,1018
2018-01-23,New York,IL,7.3,3.74,37,17.4,Sunny,984
2018-01-24,Los Angeles,TX,16.5,0.88,94,18.5,Sunny,997
2018-01-25,Phoenix,TX,5.8,0.14,90,24.8,Cloudy,986
2018-01-26,New York,AZ,-2.8,2.46,78,1.6,Cloudy,1012
2018-01-27,New York,IL,12.5,1.37,92,10.8,Sunny,1019
2018-01-28,Houston,IL,9.3,1.56,45,13.0,Sunny,1019
2018-01-29,New York,NY,5.6,0.82,69,18.4,Storm,1002
2018-01-30,Houston,TX,0.3,3.84,65,19.4,Rainy,998
2018-01-31,Houston,AZ,3.9,4.21,55,11.8,Rainy,1020
2018-02-01,Houston,TX,12.8,2.91,93,7.1,Cloudy,1009
2018-02-02,Los Angeles,AZ,11.6,5.53,94,4.0,Rainy,1017
2018-02-03,Los Angeles,CA,-3.0,28.76,32,20.8,Sunny,984
2018-02-04,Chicago,IL,4.4,7.96,67,17.5,Sunny,1009
2018-02-05,New York,IL,11.4,5.99,61,17.9,Cloudy,988
2018-02-06,Phoenix,TX,9.9,2.87,69,8.7,Cloudy,1023
2018-02-07,Phoenix,IL,-1.7,5.37,70,3.6,Cloudy,991
2018-02-08,Los Angeles,CA,1.9,1.15,76,6.0,Cloudy,1001
2018-02-09,Phoenix,AZ,1.3,1.55,45,23.1,Cloudy,989
2018-02-10,Phoenix,TX,2.6,2.82,89,17.8,Sunny,1008
2018-02-11,Los Angeles,AZ,3.2,4.11,38,10.2,Cloudy,980
2018-02-12,Phoenix,AZ,9.0,6.31,67,16.5,Sunny,1000
2018-02-13,Chicago,TX,-3.8,6.79,30,10.0,Sunny,1004
2018-02-14,Phoenix,NY,7.7,1.06,93,13.2,Cloudy,987
2018-02-15,Chicago,AZ,1.4,2.27,84,1.7,Rainy,1012
2018-02-16,Phoenix,AZ,3.3,0.17,82,8.9,Rainy,1007
2018-02-17,New York,AZ,-1.3,0.91,30,21.9,Sunny,981
2018-02-18,Houston,AZ,-4.2,6.71,57,6.8,Cloudy,991
2018-02-19,New York,NY,7.5,0.8,31,8.3,Cloudy,991
2018-02-20,Houston,NY,2.3,0.92,36,23.7,Sunny,1019
2018-02-21,Los Angeles,TX,2.2,2.26,58,12.4,Sunny,1019
2018-02-22,Phoenix,IL,0.0,0.0,50,2.0,Sunny,1013
2018-02-23,Los Angeles,NY,8.8,0.31,53,24.9,Cloudy,1003
2018-02-24,Chicago,NY,9.0,1.34,37,5.8,Sunny,1014
2018-02-25,Houston,TX,-1.0,0.43,78,12.4,Cloudy,1005
2018-02-26,Houston,TX,5.3,0.29,50,19.9,Rainy,1031
2018-02-27,Houston,CA,-3.6,0.41,49,16.6,Rainy,1003
2018-02-28,Houston,NY,7.0,5.76,78,18.5,Sunny,980
2018-03-01,Chicago,CA,0.1,2.0,48,23.1,Sunny,1005
2018-03-02,New York,CA,-2.3,4.28,49,6.5,Rainy,1007
2018-03-03,Phoenix,NY,5.9,6.12,43,1.2,Cloudy,1006
2018-03-04,Chicago,TX,0.0,8.03,65,13.4,Cloudy,983
2018-03-05,Los Angeles,TX,0.2,5.72,60,19.1,Sunny,990
2018-03-06,Phoenix,CA,-3.1,1.63,63,12.1,Sunny,1001
2018-03-07,Chicago,AZ,-2.2,7.55,33,14.2,Sunny,985
2018-03-08,Los Angeles,TX,5.7,6.42,67,8.0,Sunny,989
2018-03-09,Houston,TX,7.5,0.53,54,7.4,Cloudy,1002
2018-03-10,New York,IL,-2.2,0.12,53,5.0,Sunny,1009
2018-03-11,Houston,TX,2.8,2.53,76,6.9,Sunny,1025
2018-03-12,New York,TX,2.3,4.07,36,12.2,Cloudy,1020
2018-03-13,New York,AZ,1.1,0.03,57,18.1,Snow,1034
2018-03-14,Los Angeles,CA,3.1,0.74,62,15.1,Rainy,1009
2018-03-15,Phoenix,AZ,4.8,3.29,61,22.9,Sunny,1010
2018-03-16,Chicago,NY,10.4,1.27,46,22.3,Cloudy,983
2018-03-17,Los Angeles,AZ,5.3,1.87,54,15.8,Rainy,1007
2018-03-18,Houston,AZ,7.5,7.8,86,5.5,Rainy,1014
2018-03-19,Phoenix,AZ,-1.9,4.99,91,6.1,Sunny,1022
2018-03-20,Houston,NY,5.7,0.41,60,19.1,Rainy,1009
2018-03-21,Los Angeles,NY,3.8,4.66,81,17.9,Cloudy,1016
2018-03-22,Houston,CA,3.5,2.22,74,11.1,Sunny,1003
2018-03-23,Houston,IL,0.0,4.72,72,16.5,Rainy,991
2018-03-24,Phoenix,CA,9.4,0.74,50,8.1,Cloudy,995
2018-03-25,Los Angeles,IL,11.7,0.32,57,18.5,Storm,983
2018-03-26,Los Angeles,NY,7.1,6.07,77,16.1,Cloudy,1029
2018-03-27,Chicago,AZ,12.3,1.37,61,11.1,Cloudy,1018
2018-03-28,New York,CA,11.8,0.45,71,16.4,Rainy,999
2018-03-29,Chicago,NY,5.3,3.22,48,3.8,Sunny,1012
2018-03-30,Los Angeles,AZ,5.5,0.87,80,5.6,Storm,1003
2018-03-31,Houston,CA,6.3,1.26,75,15.9,Sunny,1006
2018-04-01,New York,TX,7.2,1.73,68,2.9,Storm,1004
2018-04-02,Chicago,IL,2.2,0.25,69,4.3,Cloudy,1015
2018-04-03,New York,AZ,0.5,2.92,33,11.9,Sunny,1000
2018-04-04,Phoenix,TX,-0.1,4.36,41,15.1,Cloudy,1025
2018-04-05,Phoenix,CA,9.6,2.23,51,3.4,Cloudy,995
2018-04-06,Chicago,CA,10.7,2.55,71,12.7,Cloudy,1002
2018-04-07,Los Angeles,CA,1.9,3.33,44,18.7,Snow,1005
2018-04-08,Chicago,AZ,-1.6,22.03,75,4.6,Cloudy,990
2018-04-09,Houston,TX,5.3,2.98,39,15.8,Rainy,1024
2018-04-10,New York,NY,-0.7,1.53,37,12.9,Sunny,995
2018-04-11,Chicago,AZ,4.0,1.35,87,17.6,Storm,1034
2018-04-12,Chicago,AZ,4.4,3.12,87,8.8,Rainy,1015
2018-04-13,New York,IL,4.5,0.36,45,17.3,Sunny,1033
2018-04-14,Chicago,IL,4.5,0.34,62,2.1,Storm,1034
2018-04-15,New York,NY,7.3,2.04,81,12.4,Cloudy,1015
2018-04-16,Houston,AZ,0.9,8.13,46,8.9,Storm,1019
2018-04-17,New York,AZ,2.9,3.72,54,24.2,Storm,982
2018-04-18,Phoenix,AZ,7.7,0.55,81,1.1,Cloudy,980
2018-04-19,Houston,AZ,4.6,0.77,63,5.0,Sunny,1032
2018-04-20,Phoenix,IL,10.3,2.81,76,12.8,Sunny,1019
2018-04-21,Chicago,AZ,10.7,1.81,76,2.1,Rainy,1025
2018-04-22,Chicago,CA,12.4,12.42,33,8.4,Cloudy,1010
2018-04-23,Los Angeles,IL,14.3,5.57,36,4.0,Sunny,1025
2018-04-24,Los Angeles,TX,10.6,9.13,72,7.6,Cloudy,1018
2018-04-25,Chicago,CA,0.7,1.84,59,19.7,Cloudy,993
2018-04-26,Houston,NY,0.3,1.91,65,11.2,Rainy,1018
2018-04-27,New York,CA,-0.7,8.32,30,9.6,Cloudy,989
2018-04-28,Phoenix,TX,3.6,5.48,70,7.0,Sunny,981
2018-04-29,Los Angeles,TX,7.6,5.86,85,1.6,Cloudy,1014
2018-04-30,Phoenix,AZ,4.6,6.51,50,3.2,Cloudy,1030
2018-05-01,Chicago,AZ,5.2,10.77,56,11.2,Cloudy,1019
2018-05-02,Los Angeles,TX,9.0,0.19,61,1.1,Sunny,996
2018-05-03,Los Angeles,NY,1.1,3.59,88,23.9,Rainy,1011
